ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-02,631.3240984256936,-486.7978355655081,2525.7138246201275,631.3240984256936,631.3240984256936,379.53046730881005,379.53046730881005,379.53046730881005,103.28814858083473,103.28814858083473,103.28814858083473,276.2423187279754,276.2423187279754,276.2423187279754,0.0,0.0,0.0,1010.8545657345037
2015-01-03,631.4880694811844,-725.2981802332115,2624.769839632798,631.4880694811844,631.4880694811844,300.4903544388017,300.4903544388017,300.4903544388017,32.44521317550982,32.44521317550982,32.44521317550982,268.04514126329184,268.04514126329184,268.04514126329184,0.0,0.0,0.0,931.9784239199862
2015-01-06,631.9799826476567,-815.0904330696766,2419.1961248987077,631.9799826476567,631.9799826476567,197.19306741162112,197.19306741162112,197.19306741162112,-20.000345438272532,-20.000345438272532,-20.000345438272532,217.19341284989363,217.19341284989363,217.19341284989363,0.0,0.0,0.0,829.1730500592778
2015-01-09,632.471895814129,-730.1672068346252,2389.5352203430953,632.471895814129,632.471895814129,239.2702361161564,239.2702361161564,239.2702361161564,103.28814858095076,103.28814858095076,103.28814858095076,135.9820875352057,135.9820875352057,135.9820875352057,0.0,0.0,0.0,871.7421319302854
2015-01-11,632.7998379251105,-863.4611736561458,2252.142026208661,632.7998379251105,632.7998379251105,63.512638571390085,63.512638571390085,63.512638571390085,-10.340380905552104,-10.340380905552104,-10.340380905552104,73.85301947694218,73.85301947694218,73.85301947694218,0.0,0.0,0.0,696.3124764965006
2015-01-12,632.9638089806012,-956.8433445934137,2309.7867379175073,632.9638089806012,632.9638089806012,27.9986013784936,27.9986013784936,27.9986013784936,-14.875331263699476,-14.875331263699476,-14.875331263699476,42.873932642193076,42.873932642193076,42.873932642193076,0.0,0.0,0.0,660.9624103590949
2015-01-20,634.2755774245273,-986.9922037998074,2016.5934187245603,634.2755774245273,634.2755774245273,-114.82278745337871,-114.82278745337871,-114.82278745337871,-20.000345438185178,-20.000345438185178,-20.000345438185178,-94.82244201519353,-94.82244201519353,-94.82244201519353,0.0,0.0,0.0,519.4527899711486
2015-01-26,635.2594037574719,-952.6647036641909,2113.5683031609788,635.2594037574719,635.2594037574719,11.190729560209876,11.190729560209876,11.190729560209876,-14.875331263785265,-14.875331263785265,-14.875331263785265,26.066060823995137,26.066060823995137,26.066060823995137,0.0,0.0,0.0,646.4501333176818
2015-01-30,635.9152879794349,-783.0148742806012,2527.112794144025,635.9152879794349,635.9152879794349,295.330421155804,295.330421155804,295.330421155804,103.2881485809063,103.2881485809063,103.2881485809063,192.0422725748977,192.0422725748977,192.0422725748977,0.0,0.0,0.0,931.2457091352389
2015-02-04,636.7351432568888,-607.7765229955686,2666.7339892813966,636.7351432568888,636.7351432568888,378.7597870141207,378.7597870141207,378.7597870141207,-21.557256254013126,-21.557256254013126,-21.557256254013126,400.3170432681338,400.3170432681338,400.3170432681338,0.0,0.0,0.0,1015.4949302710095
