ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-03,250.8551077120202,-629.9624809618973,1286.3807725832403,250.8551077120202,250.8551077120202,46.30711141275031,46.30711141275031,46.30711141275031,-52.24618473308113,-52.24618473308113,-52.24618473308113,98.55329614583142,98.55329614583142,98.55329614583142,0.0,0.0,0.0,297.1622191247705
2015-01-06,250.91831719918576,-512.7577303573743,1432.8123653467271,250.91831719918576,250.91831719918576,207.0919509995533,207.0919509995533,207.0919509995533,51.994244496079126,51.994244496079126,51.994244496079126,155.09770650347417,155.09770650347417,155.09770650347417,0.0,0.0,0.0,458.010268198739
2015-01-09,250.9815266863513,-547.2985060075534,1326.6353051320568,250.9815266863513,250.9815266863513,158.04650640154887,158.04650640154887,158.04650640154887,-57.52289930901665,-57.52289930901665,-57.52289930901665,215.5694057105655,215.5694057105655,215.5694057105655,0.0,0.0,0.0,409.02803308790016
2015-01-11,251.02366634446162,-368.239661556638,1554.1852045100156,251.02366634446162,251.02366634446162,341.18250883402044,341.18250883402044,341.18250883402044,89.35537903288474,89.35537903288474,89.35537903288474,251.8271298011357,251.8271298011357,251.8271298011357,0.0,0.0,0.0,592.206175178482
2015-01-12,251.0447361735168,-451.071044669726,1348.0614842700106,251.0447361735168,251.0447361735168,175.14537099820785,175.14537099820785,175.14537099820785,-92.19230426210468,-92.19230426210468,-92.19230426210468,267.33767526031255,267.33767526031255,267.33767526031255,0.0,0.0,0.0,426.19010717172466
2015-01-20,251.21329480595818,-364.59310395993356,1563.337159399748,251.21329480595818,251.21329480595818,335.8227145410891,335.8227145410891,335.8227145410891,51.99424449633594,51.99424449633594,51.99424449633594,283.8284700447532,283.8284700447532,283.8284700447532,0.0,0.0,0.0,587.0360093470473
2015-01-26,251.33971378028923,-671.8767798576058,1268.837235954595,251.33971378028923,251.33971378028923,64.78207724296749,64.78207724296749,64.78207724296749,-92.19230426218725,-92.19230426218725,-92.19230426218725,156.97438150515472,156.97438150515472,156.97438150515472,0.0,0.0,0.0,316.1217910232567
2015-01-30,251.42399309650995,-670.0446454326731,1108.7780120325417,251.42399309650995,251.42399309650995,-20.65469840286514,-20.65469840286514,-20.65469840286514,-57.52289930871956,-57.52289930871956,-57.52289930871956,36.86820090585443,36.86820090585443,36.86820090585443,0.0,0.0,0.0,230.7692946936448
2015-02-04,251.5293422417858,-729.1914209786926,1155.9972669965011,251.5293422417858,251.5293422417858,-58.25666083821151,-58.25666083821151,-58.25666083821151,40.44091637139273,40.44091637139273,40.44091637139273,-98.69757720960425,-98.69757720960425,-98.69757720960425,0.0,0.0,0.0,193.2726814035743
2015-02-08,251.6136215580065,-855.1375465590072,1150.442893266106,251.6136215580065,251.6136215580065,-73.28968840451824,-73.28968840451824,-73.28968840451824,89.35537903279307,89.35537903279307,89.35537903279307,-162.64506743731135,-162.64506743731135,-162.64506743731135,0.0,0.0,0.0,178.32393315348827
2015-02-12,251.6979008742272,-838.6114579224002,1013.1351799779413,251.6979008742272,251.6979008742272,-153.51847998987208,-153.51847998987208,-153.51847998987208,20.170848404216652,20.170848404216652,20.170848404216652,-173.68932839408873,-173.68932839408873,-173.68932839408873,0.0,0.0,0.0,98.17942088435512
2015-02-14,251.74004053233756,-839.4136700445695,979.3427149517022,251.74004053233756,251.74004053233756,-212.88836675472686,-212.88836675472686,-212.88836675472686,-52.246184733170004,-52.246184733170004,-52.246184733170004,-160.64218202155683,-160.64218202155683,-160.64218202155683,0.0,0.0,0.0,38.8516737776107
2015-02-16,251.7821801904479,-937.3081867119749,990.2800004596431,251.7821801904479,251.7821801904479,-230.08807879718302,-230.08807879718302,-230.08807879718302,-92.19230426217723,-92.19230426217723,-92.19230426217723,-137.89577453500578,-137.89577453500578,-137.89577453500578,0.0,0.0,0.0,21.694101393264873
2015-02-17,251.80325001950308,-731.6769093485368,1206.8971433182942,251.80325001950308,251.80325001950308,-71.78419023028054,-71.78419023028054,-71.78419023028054,51.99424449621923,51.99424449621923,51.99424449621923,-123.77843472649978,-123.77843472649978,-123.77843472649978,0.0,0.0,0.0,180.01905978922252
2015-02-18,251.82431984855825,-748.9093023484879,1045.1706369959675,251.82431984855825,251.82431984855825,-67.92762392106982,-67.92762392106982,-67.92762392106982,40.44091637113927,40.44091637113927,40.44091637113927,-108.3685402922091,-108.3685402922091,-108.3685402922091,0.0,0.0,0.0,183.89669592748842
2015-02-21,251.88752933572377,-839.161374698766,1042.8689517038197,251.88752933572377,251.88752933572377,-110.88491176735937,-110.88491176735937,-110.88491176735937,-52.246184733514596,-52.246184733514596,-52.246184733514596,-58.63872703384476,-58.63872703384476,-58.63872703384476,0.0,0.0,0.0,141.0026175683644
2015-02-23,251.9296689938341,-782.3855933601908,1057.5065697107996,251.9296689938341,251.9296689938341,-118.94223266646542,-118.94223266646542,-118.94223266646542,-92.19230426220508,-92.19230426220508,-92.19230426220508,-26.749928404260324,-26.749928404260324,-26.749928404260324,0.0,0.0,0.0,132.9874363273687
2015-03-01,252.05608796816517,-525.5362632067905,1295.7697324797205,252.05608796816517,252.05608796816517,122.25196214330758,122.25196214330758,122.25196214330758,89.35537903290557,89.35537903290557,89.35537903290557,32.89658311040199,32.89658311040199,32.89658311040199,0.0,0.0,0.0,374.30805011147277
2015-03-03,252.0982276262755,-540.5466670206805,1322.971218589242,252.0982276262755,252.0982276262755,87.40246889690908,87.40246889690908,87.40246889690908,51.99424449628849,51.99424449628849,51.99424449628849,35.40822440062061,35.40822440062061,35.40822440062061,0.0,0.0,0.0,339.5006965231846
