ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-11,630.7076357093766,-621.3329863652597,1623.0772763034488,630.7076357093766,630.7076357093766,-126.23638282440633,-126.23638282440633,-126.23638282440633,-201.8283464452671,-201.8283464452671,-201.8283464452671,75.59196362086081,75.59196362086081,75.59196362086081,0.0,0.0,0.0,504.4712528849703
2015-01-12,630.6296648041244,-438.3903089104828,1812.6256948496948,630.6296648041244,630.6296648041244,33.1926763157352,33.1926763157352,33.1926763157352,-1.7586003306902787,-1.7586003306902787,-1.7586003306902787,34.95127664642547,34.95127664642547,34.95127664642547,0.0,0.0,0.0,663.8223411198596
2015-01-14,630.4737229936197,-617.704379429314,1660.228673435882,630.4737229936197,630.4737229936197,-109.26683659739014,-109.26683659739014,-109.26683659739014,-55.63789962005344,-55.63789962005344,-55.63789962005344,-53.628936977336714,-53.628936977336714,-53.628936977336714,0.0,0.0,0.0,521.2068863962296
2015-01-16,630.3177811831152,-589.6186759762545,1683.880718776684,630.3177811831152,630.3177811831152,-105.90684222864921,-105.90684222864921,-105.90684222864921,39.75949868956994,39.75949868956994,39.75949868956994,-145.66634091821913,-145.66634091821913,-145.66634091821913,0.0,0.0,0.0,524.410938954466
2015-02-09,628.4464794570605,-407.1571494543038,1775.9658295692143,628.4464794570605,628.4464794570605,55.31206920445338,55.31206920445338,55.31206920445338,-1.7586003306075653,-1.7586003306075653,-1.7586003306075653,57.07066953506096,57.07066953506096,57.07066953506096,0.0,0.0,0.0,683.7585486615138
2015-02-11,628.290537646556,-477.64479712515623,1744.4673039698941,628.290537646556,628.290537646556,42.288542154787635,42.288542154787635,42.288542154787635,-55.63789961903524,-55.63789961903524,-55.63789961903524,97.92644177382287,97.92644177382287,97.92644177382287,0.0,0.0,0.0,670.5790798013436
2015-02-12,628.2125667413037,-192.19902934742308,2120.2425814572666,628.2125667413037,628.2125667413037,316.844192741317,316.844192741317,316.844192741317,207.64222751867473,207.64222751867473,207.64222751867473,109.2019652226423,109.2019652226423,109.2019652226423,0.0,0.0,0.0,945.0567594826207
2015-03-03,626.7311195415103,-863.0869115702031,1420.7175028707222,626.7311195415103,626.7311195415103,-343.093826024007,-343.093826024007,-343.093826024007,-94.81874204103991,-94.81874204103991,-94.81874204103991,-248.2750839829671,-248.2750839829671,-248.2750839829671,0.0,0.0,0.0,283.63729351750334
2015-03-17,625.6395268679784,-488.62987960827877,1748.8566334399056,625.6395268679784,625.6395268679784,29.35454499576656,29.35454499576656,29.35454499576656,-94.8187420406347,-94.8187420406347,-94.8187420406347,124.17328703640128,124.17328703640128,124.17328703640128,0.0,0.0,0.0,654.9940718637449
2015-03-25,625.0157596259601,-410.7764520811579,1747.6583194780987,625.0157596259601,625.0157596259601,7.294759395769556,7.294759395769556,7.294759395769556,-55.63789961954484,-55.63789961954484,-55.63789961954484,62.93265901531441,62.93265901531441,62.93265901531441,0.0,0.0,0.0,632.3105190217296
