date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/8/18,584.1153851,-1268.095947,1792.438774,584.1153851,584.1153851,-381.4504321,-381.4504321,-381.4504321,-37.28586133,-37.28586133,-37.28586133,-344.1645708,-344.1645708,-344.1645708,0,0,0,202.664953,Central,Technology
1/12/18,582.7843476,-1004.799434,2089.856907,582.7843476,582.7843476,-133.0209875,-133.0209875,-133.0209875,333.6370449,333.6370449,333.6370449,-466.6580323,-466.6580323,-466.6580323,0,0,0,449.7633601,Central,Technology
1/15/18,581.7860694,-1435.560941,1557.12745,581.7860694,581.7860694,-497.8118108,-497.8118108,-497.8118108,-37.28586133,-37.28586133,-37.28586133,-460.5259495,-460.5259495,-460.5259495,0,0,0,83.97425862,Central,Technology
1/21/18,579.7895131,-959.8322779,2132.283037,579.7895131,579.7895131,35.11529261,35.11529261,35.11529261,133.5079822,133.5079822,133.5079822,-98.39268959,-98.39268959,-98.39268959,0,0,0,614.9048057,Central,Technology
1/30/18,576.7946786,-143.1874353,3123.949072,576.7946786,576.7946786,966.8660818,966.8660818,966.8660818,-115.8625237,-115.8625237,-115.8625237,1082.728606,1082.728606,1082.728606,0,0,0,1543.66076,Central,Technology
2/9/18,573.4670848,1080.042401,4232.735628,573.4670848,573.4670848,2148.682971,2148.682971,2148.682971,333.6370449,333.6370449,333.6370449,1815.045926,1815.045926,1815.045926,0,0,0,2722.150055,Central,Technology
2/12/18,572.4688066,871.3961484,3813.653153,572.4688066,572.4688066,1657.047823,1657.047823,1657.047823,-37.28586133,-37.28586133,-37.28586133,1694.333684,1694.333684,1694.333684,0,0,0,2229.51663,Central,Technology
2/17/18,570.8050097,462.1435425,3410.482628,570.8050097,570.8050097,1321.571909,1321.571909,1321.571909,142.8164019,142.8164019,142.8164019,1178.755507,1178.755507,1178.755507,0,0,0,1892.376918,Central,Technology
2/21/18,569.4739721,-456.337875,2657.50394,569.4739721,569.4739721,496.0585274,496.0585274,496.0585274,-122.5425298,-122.5425298,-122.5425298,618.6010572,618.6010572,618.6010572,0,0,0,1065.5325,Central,Technology
3/3/18,566.1463772,-1164.521155,1861.627142,566.1463772,566.1463772,-249.1978222,-249.1978222,-249.1978222,142.8164019,142.8164019,142.8164019,-392.014224,-392.014224,-392.014224,0,0,0,316.9485551,Central,Technology
3/7/18,564.8153392,-1587.393077,1642.618342,564.8153392,564.8153392,-558.7782934,-558.7782934,-558.7782934,-122.5425298,-122.5425298,-122.5425298,-436.2357636,-436.2357636,-436.2357636,0,0,0,6.037045828,Central,Technology
3/8/18,564.4825797,-1628.778262,1264.228175,564.4825797,564.4825797,-750.8317344,-750.8317344,-750.8317344,-334.270514,-334.270514,-334.270514,-416.5612204,-416.5612204,-416.5612204,0,0,0,-186.3491546,Central,Technology
