date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region
1/2/15,631.3240984,-486.7978356,2525.713825,631.3240984,631.3240984,379.5304673,379.5304673,379.5304673,103.2881486,103.2881486,103.2881486,276.2423187,276.2423187,276.2423187,0,0,0,1010.854566,Central
1/3/15,631.4880695,-725.2981802,2624.76984,631.4880695,631.4880695,300.4903544,300.4903544,300.4903544,32.44521318,32.44521318,32.44521318,268.0451413,268.0451413,268.0451413,0,0,0,931.9784239,Central
1/6/15,631.9799826,-815.0904331,2419.196125,631.9799826,631.9799826,197.1930674,197.1930674,197.1930674,-20.00034544,-20.00034544,-20.00034544,217.1934128,217.1934128,217.1934128,0,0,0,829.1730501,Central
1/9/15,632.4718958,-730.1672068,2389.53522,632.4718958,632.4718958,239.2702361,239.2702361,239.2702361,103.2881486,103.2881486,103.2881486,135.9820875,135.9820875,135.9820875,0,0,0,871.7421319,Central
1/11/15,632.7998379,-863.4611737,2252.142026,632.7998379,632.7998379,63.51263857,63.51263857,63.51263857,-10.34038091,-10.34038091,-10.34038091,73.85301948,73.85301948,73.85301948,0,0,0,696.3124765,Central
1/12/15,632.963809,-956.8433446,2309.786738,632.963809,632.963809,27.99860138,27.99860138,27.99860138,-14.87533126,-14.87533126,-14.87533126,42.87393264,42.87393264,42.87393264,0,0,0,660.9624104,Central
1/20/15,634.2755774,-986.9922038,2016.593419,634.2755774,634.2755774,-114.8227875,-114.8227875,-114.8227875,-20.00034544,-20.00034544,-20.00034544,-94.82244202,-94.82244202,-94.82244202,0,0,0,519.45279,Central
1/26/15,635.2594038,-952.6647037,2113.568303,635.2594038,635.2594038,11.19072956,11.19072956,11.19072956,-14.87533126,-14.87533126,-14.87533126,26.06606082,26.06606082,26.06606082,0,0,0,646.4501333,Central
1/30/15,635.915288,-783.0148743,2527.112794,635.915288,635.915288,295.3304212,295.3304212,295.3304212,103.2881486,103.2881486,103.2881486,192.0422726,192.0422726,192.0422726,0,0,0,931.2457091,Central
2/4/15,636.7351433,-607.776523,2666.733989,636.7351433,636.7351433,378.759787,378.759787,378.759787,-21.55725625,-21.55725625,-21.55725625,400.3170433,400.3170433,400.3170433,0,0,0,1015.49493,Central
2/8/15,637.3910275,-491.4646971,2772.413548,637.3910275,637.3910275,483.0641195,483.0641195,483.0641195,-10.34038091,-10.34038091,-10.34038091,493.4045004,493.4045004,493.4045004,0,0,0,1120.455147,Central
2/9/15,637.5549985,-437.9335093,2748.191026,637.5549985,637.5549985,485.7303203,485.7303203,485.7303203,-14.87533126,-14.87533126,-14.87533126,500.6056516,500.6056516,500.6056516,0,0,0,1123.285319,Central
2/11/15,637.8829406,-561.5224765,2717.146607,637.8829406,637.8829406,471.9844466,471.9844466,471.9844466,-21.55725625,-21.55725625,-21.55725625,493.5417028,493.5417028,493.5417028,0,0,0,1109.867387,Central
2/12/15,638.0469117,-509.4393815,2697.000093,638.0469117,638.0469117,410.3210762,410.3210762,410.3210762,-68.9600479,-68.9600479,-68.9600479,479.2811241,479.2811241,479.2811241,0,0,0,1048.367988,Central
2/14/15,638.3748538,-486.7082288,2817.624281,638.3748538,638.3748538,462.9463397,462.9463397,462.9463397,32.44521318,32.44521318,32.44521318,430.5011265,430.5011265,430.5011265,0,0,0,1101.321194,Central
2/16/15,638.7027959,-538.6347999,2510.519552,638.7027959,638.7027959,343.1437723,343.1437723,343.1437723,-14.87533126,-14.87533126,-14.87533126,358.0191036,358.0191036,358.0191036,0,0,0,981.8465682,Central
2/17/15,638.866767,-584.7037996,2528.21808,638.866767,638.866767,294.6052454,294.6052454,294.6052454,-20.00034544,-20.00034544,-20.00034544,314.6055909,314.6055909,314.6055909,0,0,0,933.4720124,Central
