date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/3/15,540.0237788,223.5605819,1704.115054,540.0237788,540.0237788,400.5229324,400.5229324,400.5229324,127.19617,127.19617,127.19617,273.3267624,273.3267624,273.3267624,0,0,0,940.5467112,Central,Furniture
1/6/15,539.8272404,30.79216942,1507.308462,539.8272404,539.8272404,233.3852089,233.3852089,233.3852089,-28.53501862,-28.53501862,-28.53501862,261.9202275,261.9202275,261.9202275,0,0,0,773.2124493,Central,Furniture
1/12/15,539.4341637,-143.9204589,1333.842153,539.4341637,539.4341637,56.4943608,56.4943608,56.4943608,-101.3889817,-101.3889817,-101.3889817,157.8833426,157.8833426,157.8833426,0,0,0,595.9285245,Central,Furniture
1/20/15,538.9100615,-253.9845109,1251.280502,538.9100615,538.9100615,-48.26375723,-48.26375723,-48.26375723,-28.53501862,-28.53501862,-28.53501862,-19.72873861,-19.72873861,-19.72873861,0,0,0,490.6463042,Central,Furniture
1/26/15,538.5169848,-409.4720607,1030.079281,538.5169848,538.5169848,-184.9490718,-184.9490718,-184.9490718,-101.3889817,-101.3889817,-101.3889817,-83.56009001,-83.56009001,-83.56009001,0,0,0,353.567913,Central,Furniture
2/12/15,537.4032675,-251.7996074,1249.089724,537.4032675,537.4032675,-29.55846451,-29.55846451,-29.55846451,55.46537106,55.46537106,55.46537106,-85.02383557,-85.02383557,-85.02383557,0,0,0,507.844803,Central,Furniture
2/18/15,537.0101908,-236.0456861,1299.252863,537.0101908,537.0101908,-9.362427164,-9.362427164,-9.362427164,130.9368384,130.9368384,130.9368384,-140.2992656,-140.2992656,-140.2992656,0,0,0,527.6477636,Central,Furniture
2/20/15,536.8791652,-499.4929322,1006.638703,536.8791652,536.8791652,-258.7229383,-258.7229383,-258.7229383,-98.95297464,-98.95297464,-98.95297464,-159.7699636,-159.7699636,-159.7699636,0,0,0,278.1562269,Central,Furniture
3/10/15,535.6999351,-236.3450723,1229.27968,535.6999351,535.6999351,-67.58021181,-67.58021181,-67.58021181,-28.53501862,-28.53501862,-28.53501862,-39.0451932,-39.0451932,-39.0451932,0,0,0,468.1197233,Central,Furniture
3/28/15,534.520705,-52.22449684,1452.709781,534.520705,534.520705,205.588249,205.588249,205.588249,127.19617,127.19617,127.19617,78.39207903,78.39207903,78.39207903,0,0,0,740.108954,Central,Furniture
3/29/15,534.4551922,-241.1157742,1197.674238,534.4551922,534.4551922,-18.77892029,-18.77892029,-18.77892029,-84.72140444,-84.72140444,-84.72140444,65.94248416,65.94248416,65.94248416,0,0,0,515.676272,Central,Furniture
3/30/15,534.3896795,-318.4528755,1244.297227,534.3896795,534.3896795,-49.21597692,-49.21597692,-49.21597692,-101.3889817,-101.3889817,-101.3889817,52.17300483,52.17300483,52.17300483,0,0,0,485.1737025,Central,Furniture
4/4/15,534.0621156,-102.7597788,1323.932553,534.0621156,534.0621156,99.08865771,99.08865771,99.08865771,127.19617,127.19617,127.19617,-28.10751228,-28.10751228,-28.10751228,0,0,0,633.1507733,Central,Furniture
4/18/15,533.1449367,-269.9436402,1218.644759,533.1449367,533.1449367,-64.06504036,-64.06504036,-64.06504036,127.19617,127.19617,127.19617,-191.2612104,-191.2612104,-191.2612104,0,0,0,469.0798963,Central,Furniture
4/20/15,533.0139111,-498.9878741,989.5273573,533.0139111,533.0139111,-298.3723657,-298.3723657,-298.3723657,-101.3889817,-101.3889817,-101.3889817,-196.983384,-196.983384,-196.983384,0,0,0,234.6415454,Central,Furniture
5/5/15,532.0312195,-326.988738,1158.92875,532.0312195,532.0312195,-125.4262107,-125.4262107,-125.4262107,-28.53501862,-28.53501862,-28.53501862,-96.89119206,-96.89119206,-96.89119206,0,0,0,406.6050088,Central,Furniture
5/8/15,531.8346812,-359.0343238,1139.573416,531.8346812,531.8346812,-152.0261521,-152.0261521,-152.0261521,-98.95297464,-98.95297464,-98.95297464,-53.07317748,-53.07317748,-53.07317748,0,0,0,379.808529,Central,Furniture
5/20/15,531.0485278,-10.46187789,1532.345727,531.0485278,531.0485278,219.8591286,219.8591286,219.8591286,130.9368384,130.9368384,130.9368384,88.92229021,88.92229021,88.92229021,0,0,0,750.9076564,Central,Furniture
5/21/15,530.9830151,-74.01927969,1402.677467,530.9830151,530.9830151,147.5799682,147.5799682,147.5799682,55.46537106,55.46537106,55.46537106,92.1145971,92.1145971,92.1145971,0,0,0,678.5629832,Central,Furniture
5/25/15,530.7209639,-235.1060864,1279.855248,530.7209639,530.7209639,-15.84193228,-15.84193228,-15.84193228,-101.3889817,-101.3889817,-101.3889817,85.54704947,85.54704947,85.54704947,0,0,0,514.8790317,Central,Furniture
5/26/15,530.6554512,-192.1919521,1316.411535,530.6554512,530.6554512,50.68229573,50.68229573,50.68229573,-28.53501862,-28.53501862,-28.53501862,79.21731434,79.21731434,79.21731434,0,0,0,581.3377469,Central,Furniture
5/30/15,530.3934001,-48.6398022,1455.481307,530.3934001,530.3934001,165.9744569,165.9744569,165.9744569,127.19617,127.19617,127.19617,38.77828695,38.77828695,38.77828695,0,0,0,696.367857,Central,Furniture
6/12/15,529.5417341,-411.7261861,1073.831099,529.5417341,529.5417341,-200.995107,-200.995107,-200.995107,-98.95297464,-98.95297464,-98.95297464,-102.0421324,-102.0421324,-102.0421324,0,0,0,328.546627,Central,Furniture
6/14/15,529.4107086,-386.7924886,1041.566895,529.4107086,529.4107086,-189.6176197,-189.6176197,-189.6176197,-84.72140444,-84.72140444,-84.72140444,-104.8962152,-104.8962152,-104.8962152,0,0,0,339.7930889,Central,Furniture
6/15/15,529.3451958,-464.2911546,1059.81304,529.3451958,529.3451958,-205.2582095,-205.2582095,-205.2582095,-101.3889817,-101.3889817,-101.3889817,-103.8692278,-103.8692278,-103.8692278,0,0,0,324.0869862,Central,Furniture
6/16/15,529.279683,-365.6218871,1129.959282,529.279683,529.279683,-129.8787726,-129.8787726,-129.8787726,-28.53501862,-28.53501862,-28.53501862,-101.343754,-101.343754,-101.343754,0,0,0,399.4009104,Central,Furniture
6/20/15,529.0176319,-183.3543212,1314.423091,529.0176319,529.0176319,47.42286128,47.42286128,47.42286128,127.19617,127.19617,127.19617,-79.77330872,-79.77330872,-79.77330872,0,0,0,576.4404932,Central,Furniture
7/1/15,528.2969915,-158.0496947,1360.350026,528.2969915,528.2969915,103.5741663,103.5741663,103.5741663,130.9368384,130.9368384,130.9368384,-27.36267205,-27.36267205,-27.36267205,0,0,0,631.8711579,Central,Furniture
7/6/15,527.9694277,-327.4338372,1163.485689,527.9694277,527.9694277,-146.1527988,-146.1527988,-146.1527988,-101.3889817,-101.3889817,-101.3889817,-44.763817,-44.763817,-44.763817,0,0,0,381.8166289,Central,Furniture
7/9/15,527.7728894,-197.1929344,1247.692758,527.7728894,527.7728894,-6.340432302,-6.340432302,-6.340432302,55.46537106,55.46537106,55.46537106,-61.80580336,-61.80580336,-61.80580336,0,0,0,521.4324571,Central,Furniture
7/11/15,527.6418638,-201.9900688,1343.355463,527.6418638,527.6418638,55.7220647,55.7220647,55.7220647,127.19617,127.19617,127.19617,-71.47410529,-71.47410529,-71.47410529,0,0,0,583.3639285,Central,Furniture
7/20/15,527.0522489,-355.6513243,1142.932815,527.0522489,527.0522489,-139.5686457,-139.5686457,-139.5686457,-101.3889817,-101.3889817,-101.3889817,-38.179664,-38.179664,-38.179664,0,0,0,387.4836032,Central,Furniture
7/21/15,526.9867364,-263.4026945,1226.050278,526.9867364,526.9867364,-52.58447023,-52.58447023,-52.58447023,-28.53501862,-28.53501862,-28.53501862,-24.04945161,-24.04945161,-24.04945161,0,0,0,474.4022662,Central,Furniture
7/26/15,526.6591739,-184.8630409,1232.04742,526.6591739,526.6591739,-13.80657574,-13.80657574,-13.80657574,-84.72140444,-84.72140444,-84.72140444,70.9148287,70.9148287,70.9148287,0,0,0,512.8525981,Central,Furniture
8/8/15,525.8075112,150.8069836,1585.815299,525.8075112,525.8075112,366.4362199,366.4362199,366.4362199,127.19617,127.19617,127.19617,239.2400499,239.2400499,239.2400499,0,0,0,892.2437311,Central,Furniture
8/9/15,525.7419987,-70.78664596,1523.131951,525.7419987,525.7419987,148.3381144,148.3381144,148.3381144,-84.72140445,-84.72140445,-84.72140445,233.0595188,233.0595188,233.0595188,0,0,0,674.0801131,Central,Furniture
8/20/15,525.0213611,-110.4968863,1340.16815,525.0213611,525.0213611,70.07353227,70.07353227,70.07353227,55.46537106,55.46537106,55.46537106,14.6081612,14.6081612,14.6081612,0,0,0,595.0948934,Central,Furniture
9/13/15,523.4490609,-262.9676119,1242.243187,523.4490609,523.4490609,11.92865099,11.92865099,11.92865099,-84.72140444,-84.72140444,-84.72140444,96.65005543,96.65005543,96.65005543,0,0,0,535.3777118,Central,Furniture
9/14/15,523.3835483,-250.5719062,1227.824939,523.3835483,523.3835483,9.007572852,9.007572852,9.007572852,-101.3889817,-101.3889817,-101.3889817,110.3965546,110.3965546,110.3965546,0,0,0,532.3911212,Central,Furniture
9/20/15,522.9904733,-145.7992394,1342.309734,522.9904733,522.9904733,62.70928627,62.70928627,62.70928627,-84.72140444,-84.72140444,-84.72140444,147.4306907,147.4306907,147.4306907,0,0,0,585.6997596,Central,Furniture
9/21/15,522.9249608,-161.6486611,1338.179578,522.9249608,522.9249608,44.14693368,44.14693368,44.14693368,-101.3889817,-101.3889817,-101.3889817,145.5359154,145.5359154,145.5359154,0,0,0,567.0718944,Central,Furniture
9/25/15,522.6629107,-197.6934111,1315.972698,522.6629107,522.6629107,19.51821016,19.51821016,19.51821016,-98.95297464,-98.95297464,-98.95297464,118.4711848,118.4711848,118.4711848,0,0,0,542.1811209,Central,Furniture
10/11/15,521.6147121,-370.7975162,1152.969537,521.6147121,521.6147121,-130.8820843,-130.8820843,-130.8820843,-84.72140445,-84.72140445,-84.72140445,-46.16067981,-46.16067981,-46.16067981,0,0,0,390.7326279,Central,Furniture
10/17/15,521.2216377,-106.5815774,1359.844941,521.2216377,521.2216377,72.08107972,72.08107972,72.08107972,127.19617,127.19617,127.19617,-55.11509027,-55.11509027,-55.11509027,0,0,0,593.3027174,Central,Furniture
11/2/15,520.1734391,-287.0860409,1186.971025,520.1734391,520.1734391,-75.7695271,-75.7695271,-75.7695271,-101.3889817,-101.3889817,-101.3889817,25.61945465,25.61945465,25.61945465,0,0,0,444.403912,Central,Furniture
11/5/15,519.9769019,-154.2689791,1404.788219,519.9769019,519.9769019,114.5583659,114.5583659,114.5583659,55.46537106,55.46537106,55.46537106,59.0929948,59.0929948,59.0929948,0,0,0,634.5352677,Central,Furniture
11/11/15,519.5838274,91.30494809,1549.996105,519.5838274,519.5838274,264.3948455,264.3948455,264.3948455,130.9368384,130.9368384,130.9368384,133.4580071,133.4580071,133.4580071,0,0,0,783.9786729,Central,Furniture
11/16/15,519.2562653,-158.0978438,1302.156288,519.2562653,519.2562653,75.06884253,75.06884253,75.06884253,-101.3889817,-101.3889817,-101.3889817,176.4578243,176.4578243,176.4578243,0,0,0,594.3251079,Central,Furniture
11/17/15,519.1907529,-77.76460532,1434.835584,519.1907529,519.1907529,151.4747867,151.4747867,151.4747867,-28.53501862,-28.53501862,-28.53501862,180.0098053,180.0098053,180.0098053,0,0,0,670.6655396,Central,Furniture
11/18/15,519.1252405,85.4030262,1622.116018,519.1252405,519.1252405,312.300912,312.300912,312.300912,130.9368384,130.9368384,130.9368384,181.3640736,181.3640736,181.3640736,0,0,0,831.4261525,Central,Furniture
11/23/15,518.7976784,-125.0867485,1275.249755,518.7976784,518.7976784,49.5928834,49.5928834,49.5928834,-101.3889817,-101.3889817,-101.3889817,150.9818651,150.9818651,150.9818651,0,0,0,568.3905618,Central,Furniture
11/25/15,518.6666536,21.40266036,1520.715849,518.6666536,518.6666536,252.2730723,252.2730723,252.2730723,130.9368384,130.9368384,130.9368384,121.3362339,121.3362339,121.3362339,0,0,0,770.9397259,Central,Furniture
