date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/3/15,250.8551077,-629.962481,1286.380773,250.8551077,250.8551077,46.30711141,46.30711141,46.30711141,-52.24618473,-52.24618473,-52.24618473,98.55329615,98.55329615,98.55329615,0,0,0,297.1622191,Central,Office Supplies
1/6/15,250.9183172,-512.7577304,1432.812365,250.9183172,250.9183172,207.091951,207.091951,207.091951,51.9942445,51.9942445,51.9942445,155.0977065,155.0977065,155.0977065,0,0,0,458.0102682,Central,Office Supplies
1/9/15,250.9815267,-547.298506,1326.635305,250.9815267,250.9815267,158.0465064,158.0465064,158.0465064,-57.52289931,-57.52289931,-57.52289931,215.5694057,215.5694057,215.5694057,0,0,0,409.0280331,Central,Office Supplies
1/11/15,251.0236663,-368.2396616,1554.185205,251.0236663,251.0236663,341.1825088,341.1825088,341.1825088,89.35537903,89.35537903,89.35537903,251.8271298,251.8271298,251.8271298,0,0,0,592.2061752,Central,Office Supplies
1/12/15,251.0447362,-451.0710447,1348.061484,251.0447362,251.0447362,175.145371,175.145371,175.145371,-92.19230426,-92.19230426,-92.19230426,267.3376753,267.3376753,267.3376753,0,0,0,426.1901072,Central,Office Supplies
1/20/15,251.2132948,-364.593104,1563.337159,251.2132948,251.2132948,335.8227145,335.8227145,335.8227145,51.9942445,51.9942445,51.9942445,283.82847,283.82847,283.82847,0,0,0,587.0360093,Central,Office Supplies
1/26/15,251.3397138,-671.8767799,1268.837236,251.3397138,251.3397138,64.78207724,64.78207724,64.78207724,-92.19230426,-92.19230426,-92.19230426,156.9743815,156.9743815,156.9743815,0,0,0,316.121791,Central,Office Supplies
1/30/15,251.4239931,-670.0446454,1108.778012,251.4239931,251.4239931,-20.6546984,-20.6546984,-20.6546984,-57.52289931,-57.52289931,-57.52289931,36.86820091,36.86820091,36.86820091,0,0,0,230.7692947,Central,Office Supplies
2/4/15,251.5293422,-729.191421,1155.997267,251.5293422,251.5293422,-58.25666084,-58.25666084,-58.25666084,40.44091637,40.44091637,40.44091637,-98.69757721,-98.69757721,-98.69757721,0,0,0,193.2726814,Central,Office Supplies
2/8/15,251.6136216,-855.1375466,1150.442893,251.6136216,251.6136216,-73.2896884,-73.2896884,-73.2896884,89.35537903,89.35537903,89.35537903,-162.6450674,-162.6450674,-162.6450674,0,0,0,178.3239332,Central,Office Supplies
2/12/15,251.6979009,-838.6114579,1013.13518,251.6979009,251.6979009,-153.51848,-153.51848,-153.51848,20.1708484,20.1708484,20.1708484,-173.6893284,-173.6893284,-173.6893284,0,0,0,98.17942088,Central,Office Supplies
2/14/15,251.7400405,-839.41367,979.342715,251.7400405,251.7400405,-212.8883668,-212.8883668,-212.8883668,-52.24618473,-52.24618473,-52.24618473,-160.642182,-160.642182,-160.642182,0,0,0,38.85167378,Central,Office Supplies
