date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/2/15,529.2567631,-618.7200162,2312.604164,529.2567631,529.2567631,275.5593106,275.5593106,275.5593106,333.6370449,333.6370449,333.6370449,-58.07773426,-58.07773426,-58.07773426,0,0,0,804.8160737,Central,Technology
2/8/15,537.9091458,860.5505676,4029.279713,537.9091458,537.9091458,1948.695034,1948.695034,1948.695034,133.5079822,133.5079822,133.5079822,1815.187051,1815.187051,1815.187051,0,0,0,2486.604179,Central,Technology
2/9/15,538.142994,703.3974063,3727.636539,538.142994,538.142994,1780.195213,1780.195213,1780.195213,-37.28586133,-37.28586133,-37.28586133,1817.481075,1817.481075,1817.481075,0,0,0,2318.338207,Central,Technology
2/11/15,538.6106904,548.6195061,3701.48466,538.6106904,538.6106904,1642.170157,1642.170157,1642.170157,-122.5425298,-122.5425298,-122.5425298,1764.712687,1764.712687,1764.712687,0,0,0,2180.780847,Central,Technology
2/20/15,540.715324,137.0022516,3204.419371,540.715324,540.715324,1131.115074,1131.115074,1131.115074,333.6370449,333.6370449,333.6370449,797.4780288,797.4780288,797.4780288,0,0,0,1671.830398,Central,Technology
3/11/15,545.1584394,-1463.90939,1599.998083,545.1584394,545.1584394,-438.2782542,-438.2782542,-438.2782542,-122.5425298,-122.5425298,-122.5425298,-315.7357244,-315.7357244,-315.7357244,0,0,0,106.8801852,Central,Technology
3/12/15,545.3922876,-1592.617773,1465.737442,545.3922876,545.3922876,-601.037128,-601.037128,-601.037128,-334.270514,-334.270514,-334.270514,-266.766614,-266.766614,-266.766614,0,0,0,-55.64484038,Central,Technology
3/14/15,545.859984,-1031.789524,2048.122468,545.859984,545.859984,-15.98459507,-15.98459507,-15.98459507,142.8164019,142.8164019,142.8164019,-158.8009969,-158.8009969,-158.8009969,0,0,0,529.8753889,Central,Technology
3/30/15,549.6015549,-878.0626164,2057.775363,549.6015549,549.6015549,99.27348826,99.27348826,99.27348826,-37.28586133,-37.28586133,-37.28586133,136.5593496,136.5593496,136.5593496,0,0,0,648.8750431,Central,Technology
3/31/15,549.8354031,-1000.87718,2144.640433,549.8354031,549.8354031,-8.698819685,-8.698819685,-8.698819685,-115.8625237,-115.8625237,-115.8625237,107.163704,107.163704,107.163704,0,0,0,541.1365834,Central,Technology
