date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region
1/3/15,666.2952759,-810.754157,3111.141313,666.2952759,666.2952759,505.1561473,505.1561473,505.1561473,156.8116493,156.8116493,156.8116493,348.344498,348.344498,348.344498,0,0,0,1171.451423,East
1/4/15,666.6064592,-916.2038821,2712.875645,666.6064592,666.6064592,210.8069469,210.8069469,210.8069469,-137.1251371,-137.1251371,-137.1251371,347.9320841,347.9320841,347.9320841,0,0,0,877.4134061,East
1/6/15,667.2288257,-719.0559276,2747.235482,667.2288257,667.2288257,313.6542845,313.6542845,313.6542845,-16.42463842,-16.42463842,-16.42463842,330.0789229,330.0789229,330.0789229,0,0,0,980.8831103,East
1/8/15,667.8511923,-649.735444,3076.179682,667.8511923,667.8511923,493.3038978,493.3038978,493.3038978,202.3857026,202.3857026,202.3857026,290.9181952,290.9181952,290.9181952,0,0,0,1161.15509,East
1/9/15,668.1623755,-1152.171119,2510.640114,668.1623755,668.1623755,103.7179647,103.7179647,103.7179647,-160.6338262,-160.6338262,-160.6338262,264.3517908,264.3517908,264.3517908,0,0,0,771.8803402,East
1/11/15,668.7847421,-991.2807756,2712.541219,668.7847421,668.7847421,63.05301322,63.05301322,63.05301322,-137.1251371,-137.1251371,-137.1251371,200.1781504,200.1781504,200.1781504,0,0,0,731.8377553,East
1/12/15,669.0959254,-881.6244954,2804.428097,669.0959254,669.0959254,232.5949331,232.5949331,232.5949331,68.62170295,68.62170295,68.62170295,163.9732301,163.9732301,163.9732301,0,0,0,901.6908584,East
1/13/15,669.4071086,-1236.764552,2565.697887,669.4071086,669.4071086,109.6125789,109.6125789,109.6125789,-16.42463841,-16.42463841,-16.42463841,126.0372174,126.0372174,126.0372174,0,0,0,779.0196876,East
1/14/15,669.7182919,-1111.256603,2530.359219,669.7182919,669.7182919,-26.4778173,-26.4778173,-26.4778173,-113.6354531,-113.6354531,-113.6354531,87.15763583,87.15763583,87.15763583,0,0,0,643.2404746,East
1/16/15,670.3406584,-1276.280329,2310.336026,670.3406584,670.3406584,-150.9614098,-150.9614098,-150.9614098,-160.6338262,-160.6338262,-160.6338262,9.672416339,9.672416339,9.672416339,0,0,0,519.3792486,East
1/28/15,674.0748577,-1405.92407,2213.011276,674.0748577,674.0748577,-345.6389444,-345.6389444,-345.6389444,-113.6354531,-113.6354531,-113.6354531,-232.0034913,-232.0034913,-232.0034913,0,0,0,328.4359133,East
2/3/15,675.9419573,-1330.193262,2370.559522,675.9419573,675.9419573,-215.8435904,-215.8435904,-215.8435904,-16.42463842,-16.42463842,-16.42463842,-199.418952,-199.418952,-199.418952,0,0,0,460.0983669,East
2/5/15,676.5643238,-1175.806038,2468.870728,676.5643238,676.5643238,17.78080177,17.78080177,17.78080177,202.3857026,202.3857026,202.3857026,-184.6049008,-184.6049008,-184.6049008,0,0,0,694.3451256,East
2/7/15,677.1866904,-1188.799144,2433.791005,677.1866904,677.1866904,-16.28811901,-16.28811901,-16.28811901,156.8116493,156.8116493,156.8116493,-173.0997683,-173.0997683,-173.0997683,0,0,0,660.8985714,East
2/9/15,677.8090569,-1295.221259,2413.594443,677.8090569,677.8090569,-98.1094311,-98.1094311,-98.1094311,68.62170295,68.62170295,68.62170295,-166.7311341,-166.7311341,-166.7311341,0,0,0,579.6996258,East
2/11/15,678.4314234,-1419.908786,2057.822591,678.4314234,678.4314234,-279.7813593,-279.7813593,-279.7813593,-113.6354531,-113.6354531,-113.6354531,-166.1459062,-166.1459062,-166.1459062,0,0,0,398.6500641,East
2/12/15,678.7426067,-1091.365766,2526.696992,678.7426067,678.7426067,34.4818777,34.4818777,34.4818777,202.3857026,202.3857026,202.3857026,-167.9038249,-167.9038249,-167.9038249,0,0,0,713.2244844,East
2/27/15,683.4103558,-1513.059746,2211.279986,683.4103558,683.4103558,-357.2200084,-357.2200084,-357.2200084,-160.6338262,-160.6338262,-160.6338262,-196.5861822,-196.5861822,-196.5861822,0,0,0,326.1903474,East
3/3/15,684.6550888,-1273.837102,2327.535639,684.6550888,684.6550888,-188.7481952,-188.7481952,-188.7481952,-16.42463842,-16.42463842,-16.42463842,-172.3235568,-172.3235568,-172.3235568,0,0,0,495.9068936,East
3/5/15,685.2774554,-1044.838295,2490.789642,685.2774554,685.2774554,41.30246838,41.30246838,41.30246838,202.3857026,202.3857026,202.3857026,-161.0832342,-161.0832342,-161.0832342,0,0,0,726.5799238,East
3/8/15,686.2110052,-1347.77792,2145.618319,686.2110052,686.2110052,-290.6916221,-290.6916221,-290.6916221,-137.1251371,-137.1251371,-137.1251371,-153.566485,-153.566485,-153.566485,0,0,0,395.5193831,East
