date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/11/15,630.7076357,-621.3329864,1623.077276,630.7076357,630.7076357,-126.2363828,-126.2363828,-126.2363828,-201.8283464,-201.8283464,-201.8283464,75.59196362,75.59196362,75.59196362,0,0,0,504.4712529,East,Furniture
1/12/15,630.6296648,-438.3903089,1812.625695,630.6296648,630.6296648,33.19267632,33.19267632,33.19267632,-1.758600331,-1.758600331,-1.758600331,34.95127665,34.95127665,34.95127665,0,0,0,663.8223411,East,Furniture
1/14/15,630.473723,-617.7043794,1660.228673,630.473723,630.473723,-109.2668366,-109.2668366,-109.2668366,-55.63789962,-55.63789962,-55.63789962,-53.62893698,-53.62893698,-53.62893698,0,0,0,521.2068864,East,Furniture
1/16/15,630.3177812,-589.618676,1683.880719,630.3177812,630.3177812,-105.9068422,-105.9068422,-105.9068422,39.75949869,39.75949869,39.75949869,-145.6663409,-145.6663409,-145.6663409,0,0,0,524.410939,East,Furniture
2/9/15,628.4464795,-407.1571495,1775.96583,628.4464795,628.4464795,55.3120692,55.3120692,55.3120692,-1.758600331,-1.758600331,-1.758600331,57.07066954,57.07066954,57.07066954,0,0,0,683.7585487,East,Furniture
2/11/15,628.2905376,-477.6447971,1744.467304,628.2905376,628.2905376,42.28854215,42.28854215,42.28854215,-55.63789962,-55.63789962,-55.63789962,97.92644177,97.92644177,97.92644177,0,0,0,670.5790798,East,Furniture
2/12/15,628.2125667,-192.1990293,2120.242581,628.2125667,628.2125667,316.8441927,316.8441927,316.8441927,207.6422275,207.6422275,207.6422275,109.2019652,109.2019652,109.2019652,0,0,0,945.0567595,East,Furniture
3/3/15,626.7311195,-863.0869116,1420.717503,626.7311195,626.7311195,-343.093826,-343.093826,-343.093826,-94.81874204,-94.81874204,-94.81874204,-248.275084,-248.275084,-248.275084,0,0,0,283.6372935,East,Furniture
3/17/15,625.6395269,-488.6298796,1748.856633,625.6395269,625.6395269,29.354545,29.354545,29.354545,-94.81874204,-94.81874204,-94.81874204,124.173287,124.173287,124.173287,0,0,0,654.9940719,East,Furniture
3/25/15,625.0157596,-410.7764521,1747.658319,625.0157596,625.0157596,7.294759396,7.294759396,7.294759396,-55.63789962,-55.63789962,-55.63789962,62.93265902,62.93265902,62.93265902,0,0,0,632.310519,East,Furniture
4/5/15,624.1580797,-1094.420125,1146.555278,624.1580797,624.1580797,-582.395139,-582.395139,-582.395139,-201.8283464,-201.8283464,-201.8283464,-380.5667926,-380.5667926,-380.5667926,0,0,0,41.76294066,East,Furniture
4/6/15,624.0801088,-858.4664336,1336.131582,624.0801088,624.0801088,-403.0735476,-403.0735476,-403.0735476,-1.75860033,-1.75860033,-1.75860033,-401.3149473,-401.3149473,-401.3149473,0,0,0,221.0065611,East,Furniture
4/10/15,623.7682251,-813.7663157,1328.565403,623.7682251,623.7682251,-368.5455545,-368.5455545,-368.5455545,39.75949869,39.75949869,39.75949869,-408.3050532,-408.3050532,-408.3050532,0,0,0,255.2226706,East,Furniture
4/11/15,623.6902542,-782.928582,1504.350499,623.6902542,623.6902542,-283.8348634,-283.8348634,-283.8348634,106.6418622,106.6418622,106.6418622,-390.4767256,-390.4767256,-390.4767256,0,0,0,339.8553909,East,Furniture
4/23/15,622.7546035,-94.40874688,2114.713033,622.7546035,622.7546035,338.8890134,338.8890134,338.8890134,207.6422275,207.6422275,207.6422275,131.2467859,131.2467859,131.2467859,0,0,0,961.6436169,East,Furniture
4/29/15,622.2867781,-397.7454799,1968.049414,622.2867781,622.2867781,183.37997,183.37997,183.37997,-55.63789962,-55.63789962,-55.63789962,239.0178696,239.0178696,239.0178696,0,0,0,805.6667481,East,Furniture
5/8/15,621.58504,-486.9595554,1849.776596,621.58504,621.58504,10.42831905,10.42831905,10.42831905,39.75949869,39.75949869,39.75949869,-29.33117964,-29.33117964,-29.33117964,0,0,0,632.0133591,East,Furniture
5/11/15,621.3511274,-732.4894821,1599.683788,621.3511274,621.3511274,-157.5411832,-157.5411832,-157.5411832,-1.758600331,-1.758600331,-1.758600331,-155.7825829,-155.7825829,-155.7825829,0,0,0,463.8099441,East,Furniture
5/18/15,620.8053311,-792.2276002,1441.22763,620.8053311,620.8053311,-324.7347427,-324.7347427,-324.7347427,-1.758600331,-1.758600331,-1.758600331,-322.9761424,-322.9761424,-322.9761424,0,0,0,296.0705884,East,Furniture
5/20/15,620.6493893,-843.5534916,1378.941609,620.6493893,620.6493893,-380.4504116,-380.4504116,-380.4504116,-55.63789962,-55.63789962,-55.63789962,-324.812512,-324.812512,-324.812512,0,0,0,240.1989777,East,Furniture
6/4/15,619.4798258,-451.2866701,1884.249129,619.4798258,619.4798258,69.36281898,69.36281898,69.36281898,207.6422275,207.6422275,207.6422275,-138.2794085,-138.2794085,-138.2794085,0,0,0,688.8426448,East,Furniture
6/6/15,619.323884,-645.5936346,1664.214353,619.323884,619.323884,-37.57548053,-37.57548053,-37.57548053,106.6418622,106.6418622,106.6418622,-144.2173428,-144.2173428,-144.2173428,0,0,0,581.7484035,East,Furniture
6/21/15,618.1543206,-853.9707293,1371.06604,618.1543206,618.1543206,-346.8447723,-346.8447723,-346.8447723,-201.8283464,-201.8283464,-201.8283464,-145.0164258,-145.0164258,-145.0164258,0,0,0,271.3095484,East,Furniture
6/22/15,618.0763497,-547.7787735,1658.25024,618.0763497,618.0763497,-123.1955403,-123.1955403,-123.1955403,-1.758600331,-1.758600331,-1.758600331,-121.43694,-121.43694,-121.43694,0,0,0,494.8808094,East,Furniture
6/28/15,617.6085243,-705.8631086,1592.854052,617.6085243,617.6085243,-147.636678,-147.636678,-147.636678,-201.8283464,-201.8283464,-201.8283464,54.19166848,54.19166848,54.19166848,0,0,0,469.9718464,East,Furniture
7/5/15,617.0627283,-536.3423176,1783.730638,617.0627283,617.0627283,-50.0848748,-50.0848748,-50.0848748,-201.8283464,-201.8283464,-201.8283464,151.7434716,151.7434716,151.7434716,0,0,0,566.9778535,East,Furniture
