date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/4/15,244.9079129,-315.6332007,1048.183073,244.9079129,244.9079129,114.8445374,114.8445374,114.8445374,-80.36319778,-80.36319778,-80.36319778,195.2077352,195.2077352,195.2077352,0,0,0,359.7524503,East,Office Supplies
1/6/15,245.0346637,-160.9177911,1229.963381,245.0346637,245.0346637,290.2065912,290.2065912,290.2065912,73.24146521,73.24146521,73.24146521,216.965126,216.965126,216.965126,0,0,0,535.2412549,East,Office Supplies
1/8/15,245.1614145,-274.0411741,1162.483219,245.1614145,245.1614145,219.5624532,219.5624532,219.5624532,-10.98919464,-10.98919464,-10.98919464,230.5516478,230.5516478,230.5516478,0,0,0,464.7238677,East,Office Supplies
1/9/15,245.2247899,-265.2130014,1194.294637,245.2247899,245.2247899,212.1551149,212.1551149,212.1551149,-21.94135012,-21.94135012,-21.94135012,234.096465,234.096465,234.096465,0,0,0,457.3799048,East,Office Supplies
1/11/15,245.3515407,-301.7691793,1094.225675,245.3515407,245.3515407,154.2048475,154.2048475,154.2048475,-80.36319778,-80.36319778,-80.36319778,234.5680453,234.5680453,234.5680453,0,0,0,399.5563882,East,Office Supplies
1/12/15,245.4149161,-197.324109,1224.186028,245.4149161,245.4149161,257.8334618,257.8334618,257.8334618,26.30167171,26.30167171,26.30167171,231.5317901,231.5317901,231.5317901,0,0,0,503.2483779,East,Office Supplies
1/13/15,245.4782915,-103.2731023,1256.099751,245.4782915,245.4782915,299.6268414,299.6268414,299.6268414,73.24146521,73.24146521,73.24146521,226.3853762,226.3853762,226.3853762,0,0,0,545.1051329,East,Office Supplies
1/16/15,245.6684176,-321.100086,1144.443217,245.6684176,245.6684176,177.3401908,177.3401908,177.3401908,-21.94135012,-21.94135012,-21.94135012,199.2815409,199.2815409,199.2815409,0,0,0,423.0086084,East,Office Supplies
1/28/15,246.4289223,-427.1606912,972.0851925,246.4289223,246.4289223,23.43456044,23.43456044,23.43456044,20.5847263,20.5847263,20.5847263,2.849834146,2.849834146,2.849834146,0,0,0,269.8634828,East,Office Supplies
2/3/15,246.8091747,-482.8243568,973.6878646,246.8091747,246.8091747,7.041273856,7.041273856,7.041273856,73.24146521,73.24146521,73.24146521,-66.20019136,-66.20019136,-66.20019136,0,0,0,253.8504486,East,Office Supplies
2/5/15,246.9359255,-524.0507237,868.7556711,246.9359255,246.9359255,-86.86912337,-86.86912337,-86.86912337,-10.98919464,-10.98919464,-10.98919464,-75.87992874,-75.87992874,-75.87992874,0,0,0,160.0668021,East,Office Supplies
2/7/15,247.0626763,-485.1266216,904.9401536,247.0626763,247.0626763,-85.0801322,-85.0801322,-85.0801322,-6.834120681,-6.834120681,-6.834120681,-78.24601152,-78.24601152,-78.24601152,0,0,0,161.9825441,East,Office Supplies
2/9/15,247.1894271,-500.6299082,950.0676207,247.1894271,247.1894271,-47.31253354,-47.31253354,-47.31253354,26.30167171,26.30167171,26.30167171,-73.61420525,-73.61420525,-73.61420525,0,0,0,199.8768935,East,Office Supplies
2/11/15,247.3161778,-470.7490388,908.4127466,247.3161778,247.3161778,-42.17000578,-42.17000578,-42.17000578,20.5847263,20.5847263,20.5847263,-62.75473208,-62.75473208,-62.75473208,0,0,0,205.1461721,East,Office Supplies
2/12/15,247.3795532,-549.5002808,877.9919376,247.3795532,247.3795532,-66.33144581,-66.33144581,-66.33144581,-10.98919464,-10.98919464,-10.98919464,-55.34225117,-55.34225117,-55.34225117,0,0,0,181.0481074,East,Office Supplies
2/27/15,248.3301841,-449.0793191,1032.741965,248.3301841,248.3301841,47.8955303,47.8955303,47.8955303,-21.94135012,-21.94135012,-21.94135012,69.83688042,69.83688042,69.83688042,0,0,0,296.2257144,East,Office Supplies
3/3/15,248.5836857,-338.4816551,1075.972641,248.5836857,248.5836857,137.9451669,137.9451669,137.9451669,73.24146521,73.24146521,73.24146521,64.70370165,64.70370165,64.70370165,0,0,0,386.5288525,East,Office Supplies
3/5/15,248.7104365,-376.4588521,998.4735039,248.7104365,248.7104365,42.5648359,42.5648359,42.5648359,-10.98919464,-10.98919464,-10.98919464,53.55403053,53.55403053,53.55403053,0,0,0,291.2752724,East,Office Supplies
3/8/15,248.9005626,-478.4281016,898.7798243,248.9005626,248.9005626,-52.17478393,-52.17478393,-52.17478393,-80.36319778,-80.36319778,-80.36319778,28.18841385,28.18841385,28.18841385,0,0,0,196.7257787,East,Office Supplies
