date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region
1/2/15,1375.450563,-626.1374748,5064.380817,1375.450563,1375.450563,870.7363759,870.7363759,870.7363759,-100.0492478,-100.0492478,-100.0492478,970.7856237,970.7856237,970.7856237,0,0,0,2246.186939,National
1/3/15,1376.004304,-298.256829,5308.107625,1376.004304,1376.004304,1188.735437,1188.735437,1188.735437,292.0234627,292.0234627,292.0234627,896.7119745,896.7119745,896.7119745,0,0,0,2564.739742,National
1/4/15,1376.558046,-993.7938442,4686.903813,1376.558046,1376.558046,706.1378499,706.1378499,706.1378499,-103.3051091,-103.3051091,-103.3051091,809.4429589,809.4429589,809.4429589,0,0,0,2082.695895,National
1/6/15,1377.665528,-753.5758257,5032.898777,1377.665528,1377.665528,691.9716726,691.9716726,691.9716726,88.94288926,88.94288926,88.94288926,603.0287834,603.0287834,603.0287834,0,0,0,2069.637201,National
1/7/15,1378.219269,-1118.47467,4805.066425,1378.219269,1378.219269,477.2509411,477.2509411,477.2509411,-11.16063624,-11.16063624,-11.16063624,488.4115773,488.4115773,488.4115773,0,0,0,1855.47021,National
1/8/15,1378.773011,-1216.107687,4311.115546,1378.773011,1378.773011,157.4340006,157.4340006,157.4340006,-212.1040465,-212.1040465,-212.1040465,369.5380471,369.5380471,369.5380471,0,0,0,1536.207011,National
1/9/15,1379.326752,-1284.874235,4310.160451,1379.326752,1379.326752,149.0230173,149.0230173,149.0230173,-100.0492478,-100.0492478,-100.0492478,249.0722651,249.0722651,249.0722651,0,0,0,1528.349769,National
1/10/15,1379.880493,-964.5347344,4551.922291,1379.880493,1379.880493,421.7395429,421.7395429,421.7395429,292.0234627,292.0234627,292.0234627,129.7160802,129.7160802,129.7160802,0,0,0,1801.620036,National
1/11/15,1380.434234,-1423.431122,4517.572453,1380.434234,1380.434234,-89.16716121,-89.16716121,-89.16716121,-103.3051091,-103.3051091,-103.3051091,14.13794785,14.13794785,14.13794785,0,0,0,1291.267073,National
1/12/15,1380.987976,-1578.035195,4242.49467,1380.987976,1380.987976,-49.44489788,-49.44489788,-49.44489788,45.65268763,45.65268763,45.65268763,-95.09758551,-95.09758551,-95.09758551,0,0,0,1331.543078,National
1/13/15,1381.541717,-1548.809165,3878.109556,1381.541717,1381.541717,-106.6549268,-106.6549268,-106.6549268,88.94288926,88.94288926,88.94288926,-195.597816,-195.597816,-195.597816,0,0,0,1274.88679,National
1/14/15,1382.095458,-1817.152358,4061.111229,1382.095458,1382.095458,-296.3660039,-296.3660039,-296.3660039,-11.16063624,-11.16063624,-11.16063624,-285.2053676,-285.2053676,-285.2053676,0,0,0,1085.729454,National
1/15/15,1382.649199,-1803.759855,3632.286234,1382.649199,1382.649199,-574.1595245,-574.1595245,-574.1595245,-212.1040465,-212.1040465,-212.1040465,-362.055478,-362.055478,-362.055478,0,0,0,808.4896749,National
1/16/15,1383.202941,-1826.330871,3542.139287,1383.202941,1383.202941,-524.6747455,-524.6747455,-524.6747455,-100.0492478,-100.0492478,-100.0492478,-424.6254977,-424.6254977,-424.6254977,0,0,0,858.5281951,National
1/18/15,1384.310423,-2289.214278,3604.347704,1384.310423,1384.310423,-606.0820462,-606.0820462,-606.0820462,-103.3051091,-103.3051091,-103.3051091,-502.7769372,-502.7769372,-502.7769372,0,0,0,778.2283769,National
