date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/3/15,788.1490361,128.4766799,2727.661878,788.1490361,788.1490361,623.4557983,623.4557983,623.4557983,129.3717356,129.3717356,129.3717356,494.0840626,494.0840626,494.0840626,0,0,0,1411.604834,National,Furniture
1/6/15,788.2624614,22.84271226,2461.511042,788.2624614,788.2624614,455.7420518,455.7420518,455.7420518,22.70994507,22.70994507,22.70994507,433.0321067,433.0321067,433.0321067,0,0,0,1244.004513,National,Furniture
1/8/15,788.3380783,-78.7233561,2492.787166,788.3380783,788.3380783,391.4574333,391.4574333,391.4574333,20.90926779,20.90926779,20.90926779,370.5481656,370.5481656,370.5481656,0,0,0,1179.795512,National,Furniture
1/11/15,788.4515036,-408.2945821,2125.018057,788.4515036,788.4515036,84.82479269,84.82479269,84.82479269,-168.5928007,-168.5928007,-168.5928007,253.4175934,253.4175934,253.4175934,0,0,0,873.2762963,National,Furniture
1/12/15,788.489312,-169.8114468,2396.841918,788.489312,788.489312,251.6702947,251.6702947,251.6702947,40.95203792,40.95203792,40.95203792,210.7182568,210.7182568,210.7182568,0,0,0,1040.159607,National,Furniture
1/13/15,788.5271205,-290.6671142,2192.570189,788.5271205,788.5271205,190.1303192,190.1303192,190.1303192,22.70994507,22.70994507,22.70994507,167.4203741,167.4203741,167.4203741,0,0,0,978.6574397,National,Furniture
1/14/15,788.5649289,-438.2894491,2138.643876,788.5649289,788.5649289,79.53371854,79.53371854,79.53371854,-44.76363041,-44.76363041,-44.76363041,124.297349,124.297349,124.297349,0,0,0,868.0986475,National,Furniture
1/16/15,788.6405458,-469.6030187,2123.466285,788.6405458,788.6405458,41.04953464,41.04953464,41.04953464,-0.586555322,-0.586555322,-0.586555322,41.63608997,41.63608997,41.63608997,0,0,0,829.6900804,National,Furniture
1/19/15,788.7539711,-472.7850994,2146.985635,788.7539711,788.7539711,-21.9340713,-21.9340713,-21.9340713,40.95203792,40.95203792,40.95203792,-62.88610922,-62.88610922,-62.88610922,0,0,0,766.8198998,National,Furniture
1/20/15,788.7917795,-590.7990788,1929.710109,788.7917795,788.7917795,-67.47569561,-67.47569561,-67.47569561,22.70994506,22.70994506,22.70994506,-90.18564068,-90.18564068,-90.18564068,0,0,0,721.3160839,National,Furniture
1/26/15,789.0186301,-588.7255895,1951.610708,789.0186301,789.0186301,-113.3144439,-113.3144439,-113.3144439,40.95203792,40.95203792,40.95203792,-154.2664818,-154.2664818,-154.2664818,0,0,0,675.7041863,National,Furniture
1/27/15,789.0564386,-537.6496562,1856.359315,789.0564386,789.0564386,-125.8347498,-125.8347498,-125.8347498,22.70994507,22.70994507,22.70994507,-148.5446948,-148.5446948,-148.5446948,0,0,0,663.2216888,National,Furniture
