date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/3/15,484.4340802,-407.2439881,2044.762958,484.4340802,484.4340802,323.7118277,323.7118277,323.7118277,92.10354285,92.10354285,92.10354285,231.6082848,231.6082848,231.6082848,0,0,0,808.1459078,National,Office Supplies
1/4/15,484.5259563,-497.1997126,1953.745236,484.5259563,484.5259563,204.9151553,204.9151553,204.9151553,-16.37124208,-16.37124208,-16.37124208,221.2863974,221.2863974,221.2863974,0,0,0,689.4411116,National,Office Supplies
1/6/15,484.7097086,-485.0257617,2010.950502,484.7097086,484.7097086,277.1530499,277.1530499,277.1530499,83.76772965,83.76772965,83.76772965,193.3853202,193.3853202,193.3853202,0,0,0,761.8627584,National,Office Supplies
1/7/15,484.8015847,-543.3008546,2009.622688,484.8015847,484.8015847,211.4129429,211.4129429,211.4129429,34.89542256,34.89542256,34.89542256,176.5175203,176.5175203,176.5175203,0,0,0,696.2145276,National,Office Supplies
1/8/15,484.8934608,-651.971505,1819.394868,484.8934608,484.8934608,36.36785613,36.36785613,36.36785613,-121.8602433,-121.8602433,-121.8602433,158.2280994,158.2280994,158.2280994,0,0,0,521.261317,National,Office Supplies
1/9/15,484.985337,-652.7193611,1865.791715,484.985337,484.985337,55.36847721,55.36847721,55.36847721,-83.56082446,-83.56082446,-83.56082446,138.9293017,138.9293017,138.9293017,0,0,0,540.3538142,National,Office Supplies
1/10/15,485.0772131,-567.9128094,1875.924996,485.0772131,485.0772131,211.1390147,211.1390147,211.1390147,92.10354285,92.10354285,92.10354285,119.0354719,119.0354719,119.0354719,0,0,0,696.2162279,National,Office Supplies
1/11/15,485.1690892,-685.8780217,1882.646011,485.1690892,485.1690892,82.58056365,82.58056365,82.58056365,-16.37124208,-16.37124208,-16.37124208,98.95180574,98.95180574,98.95180574,0,0,0,567.7496529,National,Office Supplies
1/12/15,485.2609654,-671.3225363,1798.298604,485.2609654,485.2609654,90.08925753,90.08925753,90.08925753,11.02561478,11.02561478,11.02561478,79.06364275,79.06364275,79.06364275,0,0,0,575.3502229,National,Office Supplies
1/13/15,485.3528415,-547.651064,1862.572535,485.3528415,485.3528415,143.4943242,143.4943242,143.4943242,83.76772965,83.76772965,83.76772965,59.72659455,59.72659455,59.72659455,0,0,0,628.8471657,National,Office Supplies
1/16/15,485.6284699,-789.6718724,1710.624618,485.6284699,485.6284699,-75.6031816,-75.6031816,-75.6031816,-83.56082446,-83.56082446,-83.56082446,7.957642857,7.957642857,7.957642857,0,0,0,410.0252883,National,Office Supplies
1/18/15,485.8122222,-776.6032056,1668.020433,485.8122222,485.8122222,-35.68460298,-35.68460298,-35.68460298,-16.37124208,-16.37124208,-16.37124208,-19.31336089,-19.31336089,-19.31336089,0,0,0,450.1276192,National,Office Supplies
1/19/15,485.9040983,-858.4787305,1764.893517,485.9040983,485.9040983,-19.43803081,-19.43803081,-19.43803081,11.02561478,11.02561478,11.02561478,-30.4636456,-30.4636456,-30.4636456,0,0,0,466.4660675,National,Office Supplies
1/20/15,485.9959744,-671.5520824,1830.370922,485.9959744,485.9959744,43.81301318,43.81301318,43.81301318,83.76772965,83.76772965,83.76772965,-39.95471647,-39.95471647,-39.95471647,0,0,0,529.8089876,National,Office Supplies
1/23/15,486.2716028,-918.7755269,1650.983949,486.2716028,486.2716028,-142.9602469,-142.9602469,-142.9602469,-83.56082446,-83.56082446,-83.56082446,-59.39942247,-59.39942247,-59.39942247,0,0,0,343.3113559,National,Office Supplies
1/26/15,486.5472312,-767.4305718,1606.225057,486.5472312,486.5472312,-58.01286336,-58.01286336,-58.01286336,11.02561479,11.02561479,11.02561479,-69.03847815,-69.03847815,-69.03847815,0,0,0,428.5343679,National,Office Supplies
1/27/15,486.6391074,-701.5957369,1687.621976,486.6391074,486.6391074,12.59927724,12.59927724,12.59927724,83.76772965,83.76772965,83.76772965,-71.16845241,-71.16845241,-71.16845241,0,0,0,499.2383846,National,Office Supplies
1/28/15,486.7309835,-764.1002087,1674.470753,486.7309835,486.7309835,-38.29260346,-38.29260346,-38.29260346,34.89542256,34.89542256,34.89542256,-73.18802603,-73.18802603,-73.18802603,0,0,0,448.4383801,National,Office Supplies
1/30/15,486.9147358,-975.6521969,1458.055806,486.9147358,486.9147358,-161.4386058,-161.4386058,-161.4386058,-83.56082446,-83.56082446,-83.56082446,-77.87778132,-77.87778132,-77.87778132,0,0,0,325.47613,National,Office Supplies
2/2/15,487.1903642,-912.5670316,1685.657733,487.1903642,487.1903642,-78.51920301,-78.51920301,-78.51920301,11.02561478,11.02561478,11.02561478,-89.54481779,-89.54481779,-89.54481779,0,0,0,408.6711612,National,Office Supplies
2/3/15,487.2822403,-787.1911773,1726.409734,487.2822403,487.2822403,-11.4382518,-11.4382518,-11.4382518,83.76772965,83.76772965,83.76772965,-95.20598146,-95.20598146,-95.20598146,0,0,0,475.8439885,National,Office Supplies
2/4/15,487.3741165,-765.5989348,1681.717495,487.3741165,487.3741165,-66.94471465,-66.94471465,-66.94471465,34.89542256,34.89542256,34.89542256,-101.8401372,-101.8401372,-101.8401372,0,0,0,420.4294018,National,Office Supplies
2/5/15,487.4659926,-1021.628262,1546.143908,487.4659926,487.4659926,-231.2811248,-231.2811248,-231.2811248,-121.8602433,-121.8602433,-121.8602433,-109.4208814,-109.4208814,-109.4208814,0,0,0,256.1848678,National,Office Supplies
2/6/15,487.5578687,-846.3794015,1523.365102,487.5578687,487.5578687,-201.4289685,-201.4289685,-201.4289685,-83.56082446,-83.56082446,-83.56082446,-117.868144,-117.868144,-117.868144,0,0,0,286.1289003,National,Office Supplies
2/7/15,487.6497449,-798.5472299,1758.935208,487.6497449,487.6497449,-34.9460314,-34.9460314,-34.9460314,92.10354285,92.10354285,92.10354285,-127.0495742,-127.0495742,-127.0495742,0,0,0,452.7037135,National,Office Supplies
2/8/15,487.741621,-878.6550088,1583.888428,487.741621,487.741621,-153.1548783,-153.1548783,-153.1548783,-16.37124208,-16.37124208,-16.37124208,-136.7836362,-136.7836362,-136.7836362,0,0,0,334.5867427,National,Office Supplies
2/9/15,487.8334971,-901.7959474,1511.097238,487.8334971,487.8334971,-135.8187154,-135.8187154,-135.8187154,11.02561479,11.02561479,11.02561479,-146.8443302,-146.8443302,-146.8443302,0,0,0,352.0147817,National,Office Supplies
2/10/15,487.9253733,-854.4223689,1667.123418,487.9253733,487.9253733,-73.19968181,-73.19968181,-73.19968181,83.76772965,83.76772965,83.76772965,-156.9674115,-156.9674115,-156.9674115,0,0,0,414.7256914,National,Office Supplies
2/11/15,488.0172494,-927.6981571,1605.507277,488.0172494,488.0172494,-131.9625089,-131.9625089,-131.9625089,34.89542256,34.89542256,34.89542256,-166.8579315,-166.8579315,-166.8579315,0,0,0,356.0547405,National,Office Supplies
2/12/15,488.1091255,-1060.926473,1398.745705,488.1091255,488.1091255,-298.0591326,-298.0591326,-298.0591326,-121.8602433,-121.8602433,-121.8602433,-176.1988893,-176.1988893,-176.1988893,0,0,0,190.0499929,National,Office Supplies
2/14/15,488.2928778,-969.2500798,1600.125976,488.2928778,488.2928778,-99.80800261,-99.80800261,-99.80800261,92.10354285,92.10354285,92.10354285,-191.9115455,-191.9115455,-191.9115455,0,0,0,388.4848752,National,Office Supplies
2/15/15,488.3847539,-1018.452831,1495.459272,488.3847539,488.3847539,-213.998547,-213.998547,-213.998547,-16.37124208,-16.37124208,-16.37124208,-197.627305,-197.627305,-197.627305,0,0,0,274.3862069,National,Office Supplies
2/16/15,488.4766301,-808.8161302,1526.574209,488.4766301,488.4766301,-190.4768409,-190.4768409,-190.4768409,11.02561479,11.02561479,11.02561479,-201.5024557,-201.5024557,-201.5024557,0,0,0,297.9997891,National,Office Supplies
