date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/2/15,848.3903624,-1210.856396,3452.330289,848.3903624,848.3903624,349.1994551,349.1994551,349.1994551,-1.953885199,-1.953885199,-1.953885199,351.1533403,351.1533403,351.1533403,0,0,0,1197.589818,National,Technology
1/3/15,848.5871796,-1121.435457,3470.057601,848.5871796,848.5871796,353.620908,353.620908,353.620908,60.14807039,60.14807039,60.14807039,293.4728376,293.4728376,293.4728376,0,0,0,1202.208088,National,Technology
1/6/15,849.1776312,-1483.927484,3351.155315,849.1776312,849.1776312,-47.0387007,-47.0387007,-47.0387007,-131.1117579,-131.1117579,-131.1117579,84.07305721,84.07305721,84.07305721,0,0,0,802.1389304,National,Technology
1/7/15,849.3744483,-1528.546257,3210.600297,849.3744483,849.3744483,-62.51179528,-62.51179528,-62.51179528,-70.41986797,-70.41986797,-70.41986797,7.908072691,7.908072691,7.908072691,0,0,0,786.8626531,National,Technology
1/9/15,849.7680827,-1434.742011,2938.271971,849.7680827,849.7680827,-144.4575142,-144.4575142,-144.4575142,-1.953885199,-1.953885199,-1.953885199,-142.503629,-142.503629,-142.503629,0,0,0,705.3105685,National,Technology
1/11/15,850.161717,-1460.061369,3013.852407,850.161717,850.161717,-229.8313748,-229.8313748,-229.8313748,47.57134917,47.57134917,47.57134917,-277.4027239,-277.4027239,-277.4027239,0,0,0,620.3303423,National,Technology
1/12/15,850.3585342,-1702.629837,2760.890165,850.3585342,850.3585342,-303.3598724,-303.3598724,-303.3598724,31.1037894,31.1037894,31.1037894,-334.4636618,-334.4636618,-334.4636618,0,0,0,546.9986618,National,Technology
1/13/15,850.5553514,-2045.447932,2697.353211,850.5553514,850.5553514,-513.5642379,-513.5642379,-513.5642379,-131.1117579,-131.1117579,-131.1117579,-382.45248,-382.45248,-382.45248,0,0,0,336.9911135,National,Technology
1/15/15,850.9489858,-1891.732163,2820.039082,850.9489858,850.9489858,-381.4133107,-381.4133107,-381.4133107,64.66230212,64.66230212,64.66230212,-446.0756128,-446.0756128,-446.0756128,0,0,0,469.5356751,National,Technology
1/16/15,851.1458029,-1920.177422,2667.580455,851.1458029,851.1458029,-461.7646251,-461.7646251,-461.7646251,-1.953885199,-1.953885199,-1.953885199,-459.8107399,-459.8107399,-459.8107399,0,0,0,389.3811778,National,Technology
1/20/15,851.9330717,-1966.082004,2457.91584,851.9330717,851.9330717,-517.6785509,-517.6785509,-517.6785509,-131.1117579,-131.1117579,-131.1117579,-386.566793,-386.566793,-386.566793,0,0,0,334.2545207,National,Technology
1/26/15,853.1139747,-1441.00429,3152.901257,853.1139747,853.1139747,61.48968228,61.48968228,61.48968228,31.1037894,31.1037894,31.1037894,30.38589288,30.38589288,30.38589288,0,0,0,914.603657,National,Technology
2/2/15,854.491695,-858.3127449,3589.485288,854.491695,854.491695,578.2084002,578.2084002,578.2084002,31.1037894,31.1037894,31.1037894,547.1046108,547.1046108,547.1046108,0,0,0,1432.700095,National,Technology
2/4/15,854.8853294,-980.8319909,3802.880677,854.8853294,854.8853294,545.4332942,545.4332942,545.4332942,-70.41986797,-70.41986797,-70.41986797,615.8531622,615.8531622,615.8531622,0,0,0,1400.318624,National,Technology
2/5/15,855.0821465,-726.9907789,3869.854772,855.0821465,855.0821465,695.4336318,695.4336318,695.4336318,64.66230212,64.66230212,64.66230212,630.7713297,630.7713297,630.7713297,0,0,0,1550.515778,National,Technology
2/6/15,855.2789637,-846.5651516,3621.287539,855.2789637,855.2789637,630.1512658,630.1512658,630.1512658,-1.953885199,-1.953885199,-1.953885199,632.105151,632.105151,632.105151,0,0,0,1485.430229,National,Technology
2/7/15,855.4757809,-835.7455165,3807.105439,855.4757809,855.4757809,679.968219,679.968219,679.968219,60.14807039,60.14807039,60.14807039,619.8201487,619.8201487,619.8201487,0,0,0,1535.444,National,Technology
2/8/15,855.6725981,-869.1351616,3751.509963,855.6725981,855.6725981,641.7961657,641.7961657,641.7961657,47.57134917,47.57134917,47.57134917,594.2248165,594.2248165,594.2248165,0,0,0,1497.468764,National,Technology
