date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region
1/1/18,684.8675531,-706.3674019,2501.042946,684.8675531,684.8675531,264.4502801,264.4502801,264.4502801,-14.87533126,-14.87533126,-14.87533126,279.3256114,279.3256114,279.3256114,0,0,0,949.3178332,Central
1/4/18,684.041164,-771.4260799,2411.41087,684.041164,684.041164,182.4500357,182.4500357,182.4500357,-68.9600479,-68.9600479,-68.9600479,251.4100836,251.4100836,251.4100836,0,0,0,866.4911997,Central
1/6/18,683.4902379,-791.5281833,2549.365533,683.4902379,683.4902379,243.8237596,243.8237596,243.8237596,32.44521318,32.44521318,32.44521318,211.3785464,211.3785464,211.3785464,0,0,0,927.3139975,Central
1/7/18,683.2147748,-875.0626819,2424.70011,683.2147748,683.2147748,175.8031029,175.8031029,175.8031029,-10.34038091,-10.34038091,-10.34038091,186.1434839,186.1434839,186.1434839,0,0,0,859.0178778,Central
1/8/18,682.9393118,-724.728457,2416.344353,682.9393118,682.9393118,143.36014,143.36014,143.36014,-14.87533126,-14.87533126,-14.87533126,158.2354712,158.2354712,158.2354712,0,0,0,826.2994517,Central
1/9/18,682.6638487,-826.7638556,2340.842647,682.6638487,682.6638487,108.3767205,108.3767205,108.3767205,-20.00034544,-20.00034544,-20.00034544,128.3770659,128.3770659,128.3770659,0,0,0,791.0405692,Central
1/10/18,682.3883857,-948.3414296,2313.319735,682.3883857,682.3883857,75.80608919,75.80608919,75.80608919,-21.55725625,-21.55725625,-21.55725625,97.36334545,97.36334545,97.36334545,0,0,0,758.1944749,Central
1/12/18,681.8374596,-652.8416953,2488.499374,681.8374596,681.8374596,138.5751395,138.5751395,138.5751395,103.2881486,103.2881486,103.2881486,35.28699087,35.28699087,35.28699087,0,0,0,820.412599,Central
1/13/18,681.5619965,-814.7621777,2311.987915,681.5619965,681.5619965,38.42814497,38.42814497,38.42814497,32.44521318,32.44521318,32.44521318,5.982931794,5.982931794,5.982931794,0,0,0,719.9901415,Central
1/15/18,681.0110704,-1049.545755,2203.217347,681.0110704,681.0110704,-59.73501907,-59.73501907,-59.73501907,-14.87533126,-14.87533126,-14.87533126,-44.8596878,-44.8596878,-44.8596878,0,0,0,621.2760513,Central
1/16/18,680.7356074,-1048.069569,2096.543169,680.7356074,680.7356074,-84.81855452,-84.81855452,-84.81855452,-20.00034544,-20.00034544,-20.00034544,-64.81820908,-64.81820908,-64.81820908,0,0,0,595.9170528,Central
1/19/18,679.9092182,-943.9017898,2244.211826,679.9092182,679.9092182,8.130721143,8.130721143,8.130721143,103.2881486,103.2881486,103.2881486,-95.15742744,-95.15742744,-95.15742744,0,0,0,688.0399393,Central
1/20/18,679.6337551,-1019.686922,2222.028448,679.6337551,679.6337551,-61.51501778,-61.51501778,-61.51501778,32.44521318,32.44521318,32.44521318,-93.96023095,-93.96023095,-93.96023095,0,0,0,618.1187374,Central
1/21/18,679.3582921,-1113.735355,2146.391189,679.3582921,679.3582921,-97.05922908,-97.05922908,-97.05922908,-10.34038091,-10.34038091,-10.34038091,-86.71884817,-86.71884817,-86.71884817,0,0,0,582.299063,Central
1/22/18,679.082829,-850.5198643,2168.721977,679.082829,679.082829,-88.29985599,-88.29985599,-88.29985599,-14.87533126,-14.87533126,-14.87533126,-73.42452473,-73.42452473,-73.42452473,0,0,0,590.782973,Central
1/23/18,678.8073659,-937.551375,2249.832603,678.8073659,678.8073659,-74.22388696,-74.22388696,-74.22388696,-20.00034544,-20.00034544,-20.00034544,-54.22354152,-54.22354152,-54.22354152,0,0,0,604.5834789,Central
1/26/18,677.9809764,-756.0052356,2418.335186,677.9809764,677.9809764,138.3815164,138.3815164,138.3815164,103.2881486,103.2881486,103.2881486,35.09336782,35.09336782,35.09336782,0,0,0,816.3624928,Central
1/28/18,677.4300501,-896.6623152,2413.00833,677.4300501,677.4300501,104.6074603,104.6074603,104.6074603,-10.34038091,-10.34038091,-10.34038091,114.9478412,114.9478412,114.9478412,0,0,0,782.0375104,Central
1/29/18,677.1545869,-774.3756206,2396.085096,677.1545869,677.1545869,143.6590551,143.6590551,143.6590551,-14.87533126,-14.87533126,-14.87533126,158.5343863,158.5343863,158.5343863,0,0,0,820.813642,Central
