date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region
1/6/15,783.9844217,-1195.298475,2274.106008,783.9844217,783.9844217,-257.1710559,-257.1710559,-257.1710559,-101.4362296,-101.4362296,-101.4362296,-155.7348262,-155.7348262,-155.7348262,0,0,0,526.8133658,South
1/7/15,783.569559,-550.4403066,2670.273851,783.569559,783.569559,227.3189482,227.3189482,227.3189482,395.7976846,395.7976846,395.7976846,-168.4787364,-168.4787364,-168.4787364,0,0,0,1010.888507,South
1/8/15,783.1546964,-966.6823145,2376.198667,783.1546964,783.1546964,-97.45496325,-97.45496325,-97.45496325,79.30834059,79.30834059,79.30834059,-176.7633038,-176.7633038,-176.7633038,0,0,0,685.6997331,South
1/11/15,781.9101084,-1185.130613,2218.308031,781.9101084,781.9101084,-292.7514821,-292.7514821,-292.7514821,-126.4091626,-126.4091626,-126.4091626,-166.3423195,-166.3423195,-166.3423195,0,0,0,489.1586263,South
1/12/15,781.4952458,-1238.553942,2204.14728,781.4952458,781.4952458,-309.9368629,-309.9368629,-309.9368629,-161.0319386,-161.0319386,-161.0319386,-148.9049243,-148.9049243,-148.9049243,0,0,0,471.5583828,South
1/13/15,781.0803831,-1226.477581,2277.811187,781.0803831,781.0803831,-225.2238408,-225.2238408,-225.2238408,-101.4362296,-101.4362296,-101.4362296,-123.7876111,-123.7876111,-123.7876111,0,0,0,555.8565423,South
1/15/15,780.2506578,-922.669799,2591.075645,780.2506578,780.2506578,29.12036922,29.12036922,29.12036922,79.30834059,79.30834059,79.30834059,-50.18797137,-50.18797137,-50.18797137,0,0,0,809.371027,South
1/20/15,778.1763446,-813.2859503,2561.640819,778.1763446,778.1763446,150.0371277,150.0371277,150.0371277,-101.4362296,-101.4362296,-101.4362296,251.4733574,251.4733574,251.4733574,0,0,0,928.2134723,South
1/26/15,775.6871687,-484.8815025,2866.577976,775.6871687,775.6871687,522.6210204,522.6210204,522.6210204,-161.0319386,-161.0319386,-161.0319386,683.652959,683.652959,683.652959,0,0,0,1298.308189,South
2/2/15,772.7831301,-374.1525152,3229.199616,772.7831301,772.7831301,723.3112428,723.3112428,723.3112428,-161.0319386,-161.0319386,-161.0319386,884.3431813,884.3431813,884.3431813,0,0,0,1496.094373,South
2/4/15,771.9534048,385.6548967,3810.03972,771.9534048,771.9534048,1228.109524,1228.109524,1228.109524,395.7976846,395.7976846,395.7976846,832.3118395,832.3118395,832.3118395,0,0,0,2000.062929,South
2/5/15,771.5385422,-20.53632764,3326.783953,771.5385422,771.5385422,866.1497986,866.1497986,866.1497986,79.30834059,79.30834059,79.30834059,786.841458,786.841458,786.841458,0,0,0,1637.688341,South
2/6/15,771.1236795,-272.4474168,3162.652698,771.1236795,771.1236795,639.7997604,639.7997604,639.7997604,-89.29717486,-89.29717486,-89.29717486,729.0969352,729.0969352,729.0969352,0,0,0,1410.92344,South
2/9/15,769.8790916,-445.0761858,2796.854841,769.8790916,769.8790916,331.2384927,331.2384927,331.2384927,-161.0319386,-161.0319386,-161.0319386,492.2704313,492.2704313,492.2704313,0,0,0,1101.117584,South
2/11/15,769.0493663,-185.5104836,3238.746989,769.0493663,769.0493663,691.4753396,691.4753396,691.4753396,395.7976846,395.7976846,395.7976846,295.677655,295.677655,295.677655,0,0,0,1460.524706,South
2/12/15,768.6345036,-623.5480614,2755.784805,768.6345036,768.6345036,270.3868745,270.3868745,270.3868745,79.30834059,79.30834059,79.30834059,191.0785339,191.0785339,191.0785339,0,0,0,1039.021378,South
3/3/15,760.7521133,-1328.666271,2147.210535,760.7521133,760.7521133,-383.2307176,-383.2307176,-383.2307176,-101.4362296,-101.4362296,-101.4362296,-281.7944879,-281.7944879,-281.7944879,0,0,0,377.5213957,South
3/10/15,757.8480747,-738.1684671,2665.593216,757.8480747,757.8480747,299.9885659,299.9885659,299.9885659,-101.4362296,-101.4362296,-101.4362296,401.4247956,401.4247956,401.4247956,0,0,0,1057.836641,South
3/11/15,757.4332121,-41.70322727,3457.919249,757.4332121,757.4332121,884.1086533,884.1086533,884.1086533,395.7976846,395.7976846,395.7976846,488.3109687,488.3109687,488.3109687,0,0,0,1641.541865,South
3/14/15,756.1886241,-210.7182691,3211.026981,756.1886241,756.1886241,698.5025086,698.5025086,698.5025086,3.068480471,3.068480471,3.068480471,695.4340282,695.4340282,695.4340282,0,0,0,1454.691133,South
3/15/15,755.7737609,-314.5783305,3072.155612,755.7737609,755.7737609,616.4695313,616.4695313,616.4695313,-126.4091626,-126.4091626,-126.4091626,742.8786939,742.8786939,742.8786939,0,0,0,1372.243292,South
3/16/15,755.3588977,-290.1908237,3183.328491,755.3588977,755.3588977,617.2746017,617.2746017,617.2746017,-161.0319386,-161.0319386,-161.0319386,778.3065403,778.3065403,778.3065403,0,0,0,1372.633499,South
3/17/15,754.9440345,-145.3772479,3062.24685,754.9440345,754.9440345,699.9707264,699.9707264,699.9707264,-101.4362296,-101.4362296,-101.4362296,801.4069561,801.4069561,801.4069561,0,0,0,1454.914761,South
3/18/15,754.5291713,383.8588469,3719.190581,754.5291713,754.5291713,1207.951929,1207.951929,1207.951929,395.7976846,395.7976846,395.7976846,812.1542449,812.1542449,812.1542449,0,0,0,1962.481101,South
3/19/15,754.1143081,64.83131342,3217.589229,754.1143081,754.1143081,890.1098393,890.1098393,890.1098393,79.30834059,79.30834059,79.30834059,810.8014987,810.8014987,810.8014987,0,0,0,1644.224147,South
3/21/15,753.2845817,-230.3873184,3252.440142,753.2845817,753.2845817,777.1870605,777.1870605,777.1870605,3.068480472,3.068480472,3.068480472,774.11858,774.11858,774.11858,0,0,0,1530.471642,South
3/22/15,752.8697185,-348.1217993,3013.176134,752.8697185,752.8697185,614.1323489,614.1323489,614.1323489,-126.4091626,-126.4091626,-126.4091626,740.5415115,740.5415115,740.5415115,0,0,0,1367.002067,South
3/23/15,752.4548553,-426.7361583,2877.301748,752.4548553,752.4548553,537.2837324,537.2837324,537.2837324,-161.0319386,-161.0319386,-161.0319386,698.315671,698.315671,698.315671,0,0,0,1289.738588,South
3/31/15,749.1359497,-765.8027405,2532.853924,749.1359497,749.1359497,123.2773968,123.2773968,123.2773968,-101.4362296,-101.4362296,-101.4362296,224.7136265,224.7136265,224.7136265,0,0,0,872.4133465,South
4/3/15,747.8913601,-822.8070488,2515.870552,747.8913601,747.8913601,-9.155666652,-9.155666652,-9.155666652,-89.29717486,-89.29717486,-89.29717486,80.1415082,80.1415082,80.1415082,0,0,0,738.7356934,South
4/4/15,747.4764969,-891.4348911,2498.693572,747.4764969,747.4764969,47.83967616,47.83967616,47.83967616,3.068480471,3.068480471,3.068480471,44.77119569,44.77119569,44.77119569,0,0,0,795.316173,South
4/7/15,746.2319073,-1001.469157,2302.97016,746.2319073,746.2319073,-118.5947165,-118.5947165,-118.5947165,-101.4362296,-101.4362296,-101.4362296,-17.15848692,-17.15848692,-17.15848692,0,0,0,627.6371907,South
4/11/15,744.5724545,-925.1215179,2315.870112,744.5724545,744.5724545,-0.181577442,-0.181577442,-0.181577442,3.068480472,3.068480472,3.068480472,-3.250057913,-3.250057913,-3.250057913,0,0,0,744.390877,South
4/16/15,742.4981385,-755.0355481,2499.586599,742.4981385,742.4981385,183.9310645,183.9310645,183.9310645,79.30834059,79.30834059,79.30834059,104.6227239,104.6227239,104.6227239,0,0,0,926.429203,South
4/19/15,741.2535489,-943.9655909,2471.288151,741.2535489,741.2535489,42.11897722,42.11897722,42.11897722,-126.4091626,-126.4091626,-126.4091626,168.5281398,168.5281398,168.5281398,0,0,0,783.3725261,South
4/21/15,740.4238225,-696.7412641,2533.449646,740.4238225,740.4238225,93.66221692,93.66221692,93.66221692,-101.4362296,-101.4362296,-101.4362296,195.0984466,195.0984466,195.0984466,0,0,0,834.0860394,South
4/25/15,738.7643696,-773.4768244,2479.479746,738.7643696,738.7643696,193.7197586,193.7197586,193.7197586,3.068480471,3.068480471,3.068480471,190.6512782,190.6512782,190.6512782,0,0,0,932.4841283,South
4/29/15,737.1049168,-469.2276422,2920.712463,737.1049168,737.1049168,505.1053493,505.1053493,505.1053493,395.7976846,395.7976846,395.7976846,109.3076646,109.3076646,109.3076646,0,0,0,1242.210266,South
4/30/15,736.6900536,-783.0724133,2483.126663,736.6900536,736.6900536,159.4587505,159.4587505,159.4587505,79.30834059,79.30834059,79.30834059,80.15040996,80.15040996,80.15040996,0,0,0,896.1488042,South
5/4/15,735.0306023,-1084.543165,2154.138421,735.0306023,735.0306023,-209.399991,-209.399991,-209.399991,-161.0319386,-161.0319386,-161.0319386,-48.36805237,-48.36805237,-48.36805237,0,0,0,525.6306113,South
5/5/15,734.6157394,-1152.403824,2293.059121,734.6157394,734.6157394,-180.4708921,-180.4708921,-180.4708921,-101.4362296,-101.4362296,-101.4362296,-79.03466246,-79.03466246,-79.03466246,0,0,0,554.1448473,South
5/7/15,733.7860138,-846.6959306,2418.217414,733.7860138,733.7860138,-53.39421564,-53.39421564,-53.39421564,79.30834059,79.30834059,79.30834059,-132.7025562,-132.7025562,-132.7025562,0,0,0,680.3917981,South
5/9/15,732.9562881,-1077.965126,2233.467303,732.9562881,732.9562881,-168.5226076,-168.5226076,-168.5226076,3.068480472,3.068480472,3.068480472,-171.5910881,-171.5910881,-171.5910881,0,0,0,564.4336805,South
5/11/15,732.1265624,-1329.054988,2024.374515,732.1265624,732.1265624,-352.8786672,-352.8786672,-352.8786672,-161.0319386,-161.0319386,-161.0319386,-191.8467286,-191.8467286,-191.8467286,0,0,0,379.2478952,South
5/12/15,731.7116996,-1242.415671,2076.109935,731.7116996,731.7116996,-295.8169568,-295.8169568,-295.8169568,-101.4362296,-101.4362296,-101.4362296,-194.3807272,-194.3807272,-194.3807272,0,0,0,435.8947428,South
5/13/15,731.2968367,-783.5997421,2568.292353,731.2968367,731.2968367,203.9733886,203.9733886,203.9733886,395.7976846,395.7976846,395.7976846,-191.824296,-191.824296,-191.824296,0,0,0,935.2702253,South
5/14/15,730.8819739,-992.5341732,2345.01464,730.8819739,730.8819739,-105.0336393,-105.0336393,-105.0336393,79.30834059,79.30834059,79.30834059,-184.3419799,-184.3419799,-184.3419799,0,0,0,625.8483346,South
5/19/15,728.8076597,-1133.918569,2221.143845,728.8076597,728.8076597,-189.4980311,-189.4980311,-189.4980311,-101.4362296,-101.4362296,-101.4362296,-88.06180151,-88.06180151,-88.06180151,0,0,0,539.3096286,South
5/21/15,727.977934,-829.7112399,2342.2429,727.977934,727.977934,44.94295325,44.94295325,44.94295325,79.30834059,79.30834059,79.30834059,-34.36538734,-34.36538734,-34.36538734,0,0,0,772.9208873,South
5/22/15,727.5630712,-986.8196839,2256.710716,727.5630712,727.5630712,-96.74784531,-96.74784531,-96.74784531,-89.29717486,-89.29717486,-89.29717486,-7.450670455,-7.450670455,-7.450670455,0,0,0,630.8152259,South
5/30/15,724.2441685,-803.1576995,2597.487267,724.2441685,724.2441685,115.9691491,115.9691491,115.9691491,3.068480472,3.068480472,3.068480472,112.9006687,112.9006687,112.9006687,0,0,0,840.2133176,South
5/31/15,723.8293057,-1016.710791,2397.495308,723.8293057,723.8293057,-17.46989277,-17.46989277,-17.46989277,-126.4091626,-126.4091626,-126.4091626,108.9392698,108.9392698,108.9392698,0,0,0,706.3594129,South
