date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/6/15,536.2074571,-44.13873737,1534.416685,536.2074571,536.2074571,221.9751721,221.9751721,221.9751721,102.3558687,102.3558687,102.3558687,119.6193034,119.6193034,119.6193034,0,0,0,758.1826292,South,Furniture
1/8/15,536.074149,-219.6816713,1387.703049,536.074149,536.074149,67.58118445,67.58118445,67.58118445,-33.09151793,-33.09151793,-33.09151793,100.6727024,100.6727024,100.6727024,0,0,0,603.6553335,South,Furniture
1/13/15,535.7408789,-46.14864242,1531.431047,535.7408789,535.7408789,189.3398617,189.3398617,189.3398617,102.3558687,102.3558687,102.3558687,86.98399304,86.98399304,86.98399304,0,0,0,725.0807407,South,Furniture
1/20/15,535.2743008,-51.81970982,1581.271547,535.2743008,535.2743008,266.2589461,266.2589461,266.2589461,102.3558687,102.3558687,102.3558687,163.9030774,163.9030774,163.9030774,0,0,0,801.5332469,South,Furniture
1/26/15,534.8743766,-168.7727111,1499.106723,534.8743766,534.8743766,146.2637625,146.2637625,146.2637625,-125.9913793,-125.9913793,-125.9913793,272.2551418,272.2551418,272.2551418,0,0,0,681.1381391,South,Furniture
2/4/15,534.2744904,108.1340077,1632.777622,534.2744904,534.2744904,293.9686512,293.9686512,293.9686512,-38.2016892,-38.2016892,-38.2016892,332.1703404,332.1703404,332.1703404,0,0,0,828.2431416,South,Furniture
3/11/15,531.9415995,-314.5077313,1244.576393,531.9415995,531.9415995,-95.53379355,-95.53379355,-95.53379355,-38.2016892,-38.2016892,-38.2016892,-57.33210435,-57.33210435,-57.33210435,0,0,0,436.407806,South,Furniture
3/14/15,531.7416375,-282.3817163,1318.726662,531.7416375,531.7416375,-13.176592,-13.176592,-13.176592,101.2039366,101.2039366,101.2039366,-114.3805286,-114.3805286,-114.3805286,0,0,0,518.5650455,South,Furniture
3/15/15,531.6749835,-464.1623794,1165.058692,531.6749835,531.6749835,-185.9396322,-185.9396322,-185.9396322,-50.34901767,-50.34901767,-50.34901767,-135.5906146,-135.5906146,-135.5906146,0,0,0,345.7353512,South,Furniture
3/18/15,531.4750213,-541.3224931,1054.867416,531.4750213,531.4750213,-239.2073916,-239.2073916,-239.2073916,-38.2016892,-38.2016892,-38.2016892,-201.0057024,-201.0057024,-201.0057024,0,0,0,292.2676297,South,Furniture
3/19/15,531.4083672,-530.4013866,1066.985183,531.4083672,531.4083672,-255.096902,-255.096902,-255.096902,-33.09151793,-33.09151793,-33.09151793,-222.005384,-222.005384,-222.005384,0,0,0,276.3114653,South,Furniture
3/21/15,531.2750591,-433.9070434,1205.995347,531.2750591,531.2750591,-158.8881778,-158.8881778,-158.8881778,101.2039366,101.2039366,101.2039366,-260.0921144,-260.0921144,-260.0921144,0,0,0,372.3868814,South,Furniture
3/31/15,530.6085185,-433.569618,1111.275974,530.6085185,530.6085185,-176.8368027,-176.8368027,-176.8368027,102.3558687,102.3558687,102.3558687,-279.1926715,-279.1926715,-279.1926715,0,0,0,353.7717158,South,Furniture
4/29/15,528.6755508,-316.2509263,1249.960839,528.6755508,528.6755508,-102.2269745,-102.2269745,-102.2269745,-38.2016892,-38.2016892,-38.2016892,-64.02528533,-64.02528533,-64.02528533,0,0,0,426.4485763,South,Furniture
5/7/15,528.1423184,-487.5094654,1154.286725,528.1423184,528.1423184,-194.9122223,-194.9122223,-194.9122223,-33.09151793,-33.09151793,-33.09151793,-161.8207044,-161.8207044,-161.8207044,0,0,0,333.230096,South,Furniture
5/9/15,528.0090102,-323.3697656,1223.743881,528.0090102,528.0090102,-50.99798217,-50.99798217,-50.99798217,101.2039366,101.2039366,101.2039366,-152.2019188,-152.2019188,-152.2019188,0,0,0,477.0110281,South,Furniture
5/11/15,527.8757021,-504.4814537,1076.371416,527.8757021,527.8757021,-253.58065,-253.58065,-253.58065,-125.9913793,-125.9913793,-125.9913793,-127.5892707,-127.5892707,-127.5892707,0,0,0,274.2950521,South,Furniture
5/14/15,527.6757399,-403.4871788,1197.771896,527.6757399,527.6757399,-99.95676469,-99.95676469,-99.95676469,-33.09151793,-33.09151793,-33.09151793,-66.86524676,-66.86524676,-66.86524676,0,0,0,427.7189752,South,Furniture
6/1/15,526.4759667,-171.4245392,1386.337258,526.4759667,526.4759667,83.3218084,83.3218084,83.3218084,-125.9913793,-125.9913793,-125.9913793,209.3131877,209.3131877,209.3131877,0,0,0,609.7977751,South,Furniture
6/21/15,525.1428854,-472.9048527,1108.463021,525.1428854,525.1428854,-239.0974386,-239.0974386,-239.0974386,-50.34901767,-50.34901767,-50.34901767,-188.7484209,-188.7484209,-188.7484209,0,0,0,286.0454468,South,Furniture
6/27/15,524.742961,-349.3004976,1225.449978,524.742961,524.742961,-100.8123856,-100.8123856,-100.8123856,101.2039366,101.2039366,101.2039366,-202.0163222,-202.0163222,-202.0163222,0,0,0,423.9305754,South,Furniture
7/4/15,524.2763825,-325.5340895,1249.917536,524.2763825,524.2763825,-69.03070133,-69.03070133,-69.03070133,101.2039366,101.2039366,101.2039366,-170.234638,-170.234638,-170.234638,0,0,0,455.2456812,South,Furniture
7/26/15,522.8099931,-405.090035,1165.566132,522.8099931,522.8099931,-144.6000329,-144.6000329,-144.6000329,-50.34901767,-50.34901767,-50.34901767,-94.25101524,-94.25101524,-94.25101524,0,0,0,378.2099602,South,Furniture
7/28/15,522.6766849,-272.8664234,1303.038198,522.6766849,522.6766849,8.808064612,8.808064612,8.808064612,102.3558687,102.3558687,102.3558687,-93.54780409,-93.54780409,-93.54780409,0,0,0,531.4847496,South,Furniture
8/4/15,522.2101064,-267.2533775,1343.332483,522.2101064,522.2101064,-2.825687227,-2.825687227,-2.825687227,102.3558687,102.3558687,102.3558687,-105.1815559,-105.1815559,-105.1815559,0,0,0,519.3844192,South,Furniture
8/6/15,522.0767982,-433.4333923,1136.975373,522.0767982,522.0767982,-144.0865941,-144.0865941,-144.0865941,-33.09151793,-33.09151793,-33.09151793,-110.9950762,-110.9950762,-110.9950762,0,0,0,377.9902041,South,Furniture
8/8/15,521.9434901,-244.4497609,1305.783247,521.9434901,521.9434901,-15.1024988,-15.1024988,-15.1024988,101.2039366,101.2039366,101.2039366,-116.3064354,-116.3064354,-116.3064354,0,0,0,506.8409913,South,Furniture
8/19/15,521.2102952,-337.8849852,1231.738097,521.2102952,521.2102952,-117.9240349,-117.9240349,-117.9240349,-38.2016892,-38.2016892,-38.2016892,-79.72234569,-79.72234569,-79.72234569,0,0,0,403.2862603,South,Furniture
