date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/7/15,261.2191361,-399.1668403,931.608452,261.2191361,261.2191361,-4.540450658,-4.540450658,-4.540450658,19.77187413,19.77187413,19.77187413,-24.31232479,-24.31232479,-24.31232479,0,0,0,256.6786854,South,Office Supplies
1/8/15,261.2079999,-433.6647695,892.6240855,261.2079999,261.2079999,-13.09094871,-13.09094871,-13.09094871,19.90562069,19.90562069,19.90562069,-32.9965694,-32.9965694,-32.9965694,0,0,0,248.1170512,South,Office Supplies
1/11/15,261.1745915,-577.2880945,754.5229593,261.1745915,261.1745915,-126.3687101,-126.3687101,-126.3687101,-69.78199227,-69.78199227,-69.78199227,-56.58671784,-56.58671784,-56.58671784,0,0,0,134.8058814,South,Office Supplies
1/13/15,261.1523192,-572.0263674,832.0532183,261.1523192,261.1523192,-92.85163674,-92.85163674,-92.85163674,-25.59767862,-25.59767862,-25.59767862,-67.25395812,-67.25395812,-67.25395812,0,0,0,168.3006825,South,Office Supplies
1/20/15,261.0743662,-493.0521637,885.5671528,261.0743662,261.0743662,-73.69811658,-73.69811658,-73.69811658,-25.59767862,-25.59767862,-25.59767862,-48.10043797,-48.10043797,-48.10043797,0,0,0,187.3762496,South,Office Supplies
1/26/15,261.0075493,-233.9688079,1073.141187,261.0075493,261.0075493,123.7765801,123.7765801,123.7765801,92.20443252,92.20443252,92.20443252,31.57214756,31.57214756,31.57214756,0,0,0,384.7841294,South,Office Supplies
2/2/15,260.9295963,-206.2970287,1136.752398,260.9295963,260.9295963,205.9029564,205.9029564,205.9029564,92.20443252,92.20443252,92.20443252,113.6985239,113.6985239,113.6985239,0,0,0,466.8325527,South,Office Supplies
2/4/15,260.907324,-251.2218511,1043.79292,260.907324,260.907324,139.4792984,139.4792984,139.4792984,19.77187413,19.77187413,19.77187413,119.7074243,119.7074243,119.7074243,0,0,0,400.3866224,South,Office Supplies
2/6/15,260.8850517,-372.8755474,998.9918273,260.8850517,260.8850517,71.4878721,71.4878721,71.4878721,-43.54331841,-43.54331841,-43.54331841,115.0311905,115.0311905,115.0311905,0,0,0,332.3729238,South,Office Supplies
2/9/15,260.8516433,-235.3981256,1170.603062,260.8516433,260.8516433,180.4382195,180.4382195,180.4382195,92.20443252,92.20443252,92.20443252,88.23378696,88.23378696,88.23378696,0,0,0,441.2898628,South,Office Supplies
2/12/15,260.8182349,-384.283479,961.1643391,260.8182349,260.8182349,61.93903163,61.93903163,61.93903163,19.90562069,19.90562069,19.90562069,42.03341094,42.03341094,42.03341094,0,0,0,322.7572665,South,Office Supplies
3/3/15,260.6066481,-509.4036814,833.7059939,260.6066481,260.6066481,-101.3898683,-101.3898683,-101.3898683,-25.59767862,-25.59767862,-25.59767862,-75.7921897,-75.7921897,-75.7921897,0,0,0,159.2167798,South,Office Supplies
3/10/15,260.5286951,-420.7254532,956.2188495,260.5286951,260.5286951,33.68243695,33.68243695,33.68243695,-25.59767862,-25.59767862,-25.59767862,59.28011557,59.28011557,59.28011557,0,0,0,294.2111321,South,Office Supplies
3/11/15,260.517559,-351.1219163,1045.36503,260.517559,260.517559,96.42289701,96.42289701,96.42289701,19.77187413,19.77187413,19.77187413,76.65102288,76.65102288,76.65102288,0,0,0,356.940456,South,Office Supplies
3/14/15,260.4841506,-254.0383342,1032.62069,260.4841506,260.4841506,123.6324257,123.6324257,123.6324257,7.041061961,7.041061961,7.041061961,116.5913638,116.5913638,116.5913638,0,0,0,384.1165763,South,Office Supplies
3/15/15,260.4730144,-327.0639736,929.6585138,260.4730144,260.4730144,55.05819363,55.05819363,55.05819363,-69.78199227,-69.78199227,-69.78199227,124.8401859,124.8401859,124.8401859,0,0,0,315.531208,South,Office Supplies
