date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/6/15,722.0616353,-2106.41087,2094.222351,722.0616353,722.0616353,-655.0849811,-655.0849811,-655.0849811,-235.1435691,-235.1435691,-235.1435691,-419.941412,-419.941412,-419.941412,0,0,0,66.97665417,South,Technology
1/7/15,721.8558829,-668.5705671,3287.609088,721.8558829,721.8558829,669.9978001,669.9978001,669.9978001,1091.607807,1091.607807,1091.607807,-421.6100073,-421.6100073,-421.6100073,0,0,0,1391.853683,South,Technology
1/11/15,721.0328734,-1798.323828,2415.534181,721.0328734,721.0328734,-466.432745,-466.432745,-466.432745,-128.3895095,-128.3895095,-128.3895095,-338.0432355,-338.0432355,-338.0432355,0,0,0,254.6001284,South,Technology
1/12/15,720.827121,-2429.597253,1892.549199,720.827121,720.827121,-879.0482765,-879.0482765,-879.0482765,-588.9761739,-588.9761739,-588.9761739,-290.0721026,-290.0721026,-290.0721026,0,0,0,-158.2211554,South,Technology
1/13/15,720.6213687,-1790.904773,2300.981911,720.6213687,720.6213687,-465.5538921,-465.5538921,-465.5538921,-235.1435691,-235.1435691,-235.1435691,-230.4103231,-230.4103231,-230.4103231,0,0,0,255.0674765,South,Technology
1/15/15,720.2098639,-1488.228084,2670.981215,720.2098639,720.2098639,-46.68144924,-46.68144924,-46.68144924,30.19765699,30.19765699,30.19765699,-76.87910622,-76.87910622,-76.87910622,0,0,0,673.5284147,South,Technology
1/20/15,719.181102,-1257.047063,3017.556281,719.181102,719.181102,224.7824439,224.7824439,224.7824439,-235.1435691,-235.1435691,-235.1435691,459.926013,459.926013,459.926013,0,0,0,943.963546,South,Technology
1/26/15,717.9465878,-842.147942,3448.187314,717.9465878,717.9465878,516.6557179,516.6557179,516.6557179,-588.9761739,-588.9761739,-588.9761739,1105.631892,1105.631892,1105.631892,0,0,0,1234.602306,South,Technology
2/2/15,716.5063211,-798.7554256,3481.702694,716.5063211,716.5063211,603.1725001,603.1725001,603.1725001,-588.9761739,-588.9761739,-588.9761739,1192.148674,1192.148674,1192.148674,0,0,0,1319.678821,South,Technology
2/4/15,716.0948163,640.8185698,4805.350856,716.0948163,716.0948163,2106.839788,2106.839788,2106.839788,1091.607807,1091.607807,1091.607807,1015.23198,1015.23198,1015.23198,0,0,0,2822.934604,South,Technology
