date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region
1/3/15,676.6647548,-358.7923926,2560.422413,676.6647548,676.6647548,331.526549,331.526549,331.526549,92.86645306,92.86645306,92.86645306,238.6600959,238.6600959,238.6600959,0,0,0,1008.191304,West
1/4/15,676.8051741,-745.0740729,2232.274619,676.8051741,676.8051741,119.1332429,119.1332429,119.1332429,-95.54611719,-95.54611719,-95.54611719,214.67936,214.67936,214.67936,0,0,0,795.9384169,West
1/7/15,677.2264318,-649.7296027,2344.279176,677.2264318,677.2264318,129.4128316,129.4128316,129.4128316,-7.530579826,-7.530579826,-7.530579826,136.9434114,136.9434114,136.9434114,0,0,0,806.6392634,West
1/8/15,677.366851,-838.3225842,2213.991372,677.366851,677.366851,7.94463344,7.94463344,7.94463344,-102.9012038,-102.9012038,-102.9012038,110.8458372,110.8458372,110.8458372,0,0,0,685.3114845,West
1/9/15,677.5072703,-618.8992215,2341.695091,677.5072703,677.5072703,182.0979409,182.0979409,182.0979409,96.64083744,96.64083744,96.64083744,85.45710345,85.45710345,85.45710345,0,0,0,859.6052112,West
1/10/15,677.6476895,-734.1336535,2310.357196,677.6476895,677.6476895,154.0599976,154.0599976,154.0599976,92.86645306,92.86645306,92.86645306,61.19354452,61.19354452,61.19354452,0,0,0,831.7076871,West
1/11/15,677.7881088,-810.0791187,2068.528625,677.7881088,677.7881088,-57.1298235,-57.1298235,-57.1298235,-95.54611719,-95.54611719,-95.54611719,38.41629369,38.41629369,38.41629369,0,0,0,620.6582853,West
1/12/15,677.928528,-852.1289005,2328.600413,677.928528,677.928528,28.49565416,28.49565416,28.49565416,11.07089582,11.07089582,11.07089582,17.42475834,17.42475834,17.42475834,0,0,0,706.4241822,West
1/13/15,678.0689472,-774.0587206,2159.33739,678.0689472,678.0689472,3.851573582,3.851573582,3.851573582,5.399714476,5.399714476,5.399714476,-1.548140893,-1.548140893,-1.548140893,0,0,0,681.9205208,West
1/18/15,678.7710435,-995.2227188,2085.469482,678.7710435,678.7710435,-158.3925234,-158.3925234,-158.3925234,-95.54611719,-95.54611719,-95.54611719,-62.84640617,-62.84640617,-62.84640617,0,0,0,520.3785201,West
1/19/15,678.9114627,-934.1614499,2119.812474,678.9114627,678.9114627,-57.6033156,-57.6033156,-57.6033156,11.07089582,11.07089582,11.07089582,-68.67421143,-68.67421143,-68.67421143,0,0,0,621.3081471,West
1/20/15,679.0518819,-813.1751069,2145.615024,679.0518819,679.0518819,-67.32986712,-67.32986712,-67.32986712,5.399714476,5.399714476,5.399714476,-72.7295816,-72.7295816,-72.7295816,0,0,0,611.7220148,West
1/23/15,679.4731397,-850.1929748,2193.158913,679.4731397,679.4731397,19.68580813,19.68580813,19.68580813,96.64083744,96.64083744,96.64083744,-76.95502931,-76.95502931,-76.95502931,0,0,0,699.1589478,West
1/27/15,680.0348166,-842.6135878,2071.560607,680.0348166,680.0348166,-70.22781992,-70.22781992,-70.22781992,5.399714476,5.399714476,5.399714476,-75.62753439,-75.62753439,-75.62753439,0,0,0,609.8069967,West
1/31/15,680.5964936,-744.5927795,2167.338202,680.5964936,680.5964936,9.760449429,9.760449429,9.760449429,92.86645306,92.86645306,92.86645306,-83.10600363,-83.10600363,-83.10600363,0,0,0,690.356943,West
2/2/15,680.8773321,-935.5230769,2163.586938,680.8773321,680.8773321,-82.67796112,-82.67796112,-82.67796112,11.07089582,11.07089582,11.07089582,-93.74885694,-93.74885694,-93.74885694,0,0,0,598.199371,West
2/6/15,681.4390091,-918.4572518,2251.567648,681.4390091,681.4390091,-32.21223424,-32.21223424,-32.21223424,96.64083744,96.64083744,96.64083744,-128.8530717,-128.8530717,-128.8530717,0,0,0,649.2267748,West
2/10/15,682.000686,-922.9846846,2017.657288,682.000686,682.000686,-167.0461118,-167.0461118,-167.0461118,5.399714476,5.399714476,5.399714476,-172.4458263,-172.4458263,-172.4458263,0,0,0,514.9545742,West
2/11/15,682.1411053,-1077.740138,1867.333419,682.1411053,682.1411053,-189.9579111,-189.9579111,-189.9579111,-7.530579826,-7.530579826,-7.530579826,-182.4273313,-182.4273313,-182.4273313,0,0,0,492.1831942,West
2/14/15,682.562363,-880.495795,2108.97335,682.562363,682.562363,-111.5656011,-111.5656011,-111.5656011,92.86645306,92.86645306,92.86645306,-204.4320542,-204.4320542,-204.4320542,0,0,0,570.9967619,West
2/15/15,682.7027822,-1160.671163,1887.464727,682.7027822,682.7027822,-303.5002954,-303.5002954,-303.5002954,-95.54611719,-95.54611719,-95.54611719,-207.9541782,-207.9541782,-207.9541782,0,0,0,379.2024869,West
2/20/15,683.4048784,-968.9428017,2004.790019,683.4048784,683.4048784,-87.92151415,-87.92151415,-87.92151415,96.64083744,96.64083744,96.64083744,-184.5623516,-184.5623516,-184.5623516,0,0,0,595.4833643,West
2/22/15,683.6857169,-993.6627467,1954.413593,683.6857169,683.6857169,-248.9191478,-248.9191478,-248.9191478,-95.54611719,-95.54611719,-95.54611719,-153.3730307,-153.3730307,-153.3730307,0,0,0,434.7665691,West
2/24/15,683.9665554,-869.1070635,2012.149816,683.9665554,683.9665554,-104.3928145,-104.3928145,-104.3928145,5.399714476,5.399714476,5.399714476,-109.792529,-109.792529,-109.792529,0,0,0,579.5737409,West
3/2/15,684.8090709,-778.1768091,2270.157216,684.8090709,684.8090709,86.98365722,86.98365722,86.98365722,11.07089582,11.07089582,11.07089582,75.9127614,75.9127614,75.9127614,0,0,0,771.7927281,West
3/3/15,684.9494901,-762.6774314,2294.08131,684.9494901,684.9494901,116.2296998,116.2296998,116.2296998,5.399714476,5.399714476,5.399714476,110.8299854,110.8299854,110.8299854,0,0,0,801.1791899,West
