date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/3/15,505.3970928,21.28819941,1765.959378,505.3970928,505.3970928,359.1127976,359.1127976,359.1127976,46.86775301,46.86775301,46.86775301,312.2450446,312.2450446,312.2450446,0,0,0,864.5098905,West,Furniture
1/12/15,505.984026,99.31606946,1785.578276,505.984026,505.984026,450.5216274,450.5216274,450.5216274,93.4693537,93.4693537,93.4693537,357.0522737,357.0522737,357.0522737,0,0,0,956.5056533,West,Furniture
1/13/15,506.0492408,21.68524766,1687.057596,506.0492408,506.0492408,347.7349531,347.7349531,347.7349531,-1.480588905,-1.480588905,-1.480588905,349.215542,349.215542,349.215542,0,0,0,853.7841938,West,Furniture
1/19/15,506.4405295,-26.04400481,1749.120216,506.4405295,506.4405295,334.1697939,334.1697939,334.1697939,93.4693537,93.4693537,93.4693537,240.7004402,240.7004402,240.7004402,0,0,0,840.6103235,West,Furniture
1/20/15,506.5057443,-187.5449105,1553.494584,506.5057443,506.5057443,212.3364721,212.3364721,212.3364721,-1.480588905,-1.480588905,-1.480588905,213.817061,213.817061,213.817061,0,0,0,718.8422164,West,Furniture
1/27/15,506.9622479,-383.1352219,1342.83844,506.9622479,506.9622479,-1.506369445,-1.506369445,-1.506369445,-1.480588905,-1.480588905,-1.480588905,-0.02578054,-0.02578054,-0.02578054,0,0,0,505.4558784,West,Furniture
1/31/15,507.223107,-370.0816615,1337.976281,507.223107,507.223107,-55.30428804,-55.30428804,-55.30428804,46.86775301,46.86775301,46.86775301,-102.1720411,-102.1720411,-102.1720411,0,0,0,451.918819,West,Furniture
2/6/15,507.6143958,-490.89508,1235.786768,507.6143958,507.6143958,-114.3597843,-114.3597843,-114.3597843,49.86619139,49.86619139,49.86619139,-164.2259756,-164.2259756,-164.2259756,0,0,0,393.2546115,West,Furniture
3/3/15,509.2447656,-298.7056018,1433.974536,509.2447656,509.2447656,63.18360799,63.18360799,63.18360799,-1.480588905,-1.480588905,-1.480588905,64.66419689,64.66419689,64.66419689,0,0,0,572.4283736,West,Furniture
3/6/15,509.44041,-295.5433572,1411.52484,509.44041,509.44041,64.86087985,64.86087985,64.86087985,49.86619139,49.86619139,49.86619139,14.99468846,14.99468846,14.99468846,0,0,0,574.3012898,West,Furniture
3/8/15,509.5708396,-455.2449096,1270.425623,509.5708396,509.5708396,-118.6583019,-118.6583019,-118.6583019,-94.59357845,-94.59357845,-94.59357845,-24.0647234,-24.0647234,-24.0647234,0,0,0,390.9125377,West,Furniture
3/10/15,509.7012692,-442.8543183,1301.33679,509.7012692,509.7012692,-65.57148274,-65.57148274,-65.57148274,-1.480588905,-1.480588905,-1.480588905,-64.09089384,-64.09089384,-64.09089384,0,0,0,444.1297864,West,Furniture
3/18/15,510.2229875,-590.640558,1172.333344,510.2229875,510.2229875,-167.5171121,-167.5171121,-167.5171121,8.796577352,8.796577352,8.796577352,-176.3136895,-176.3136895,-176.3136895,0,0,0,342.7058754,West,Furniture
3/22/15,510.4838467,-586.5846441,1139.844236,510.4838467,510.4838467,-275.3936246,-275.3936246,-275.3936246,-94.59357845,-94.59357845,-94.59357845,-180.8000461,-180.8000461,-180.8000461,0,0,0,235.0902221,West,Furniture
3/24/15,510.6142763,-484.9433098,1234.805193,510.6142763,510.6142763,-171.4738775,-171.4738775,-171.4738775,-1.480588905,-1.480588905,-1.480588905,-169.9932886,-169.9932886,-169.9932886,0,0,0,339.1403988,West,Furniture
3/30/15,511.0055636,-400.8455559,1348.155487,511.0055636,511.0055636,-11.48034734,-11.48034734,-11.48034734,93.4693537,93.4693537,93.4693537,-104.949701,-104.949701,-104.949701,0,0,0,499.5252162,West,Furniture
4/5/15,511.3968509,-489.6990678,1173.777903,511.3968509,511.3968509,-129.3927757,-129.3927757,-129.3927757,-94.59357845,-94.59357845,-94.59357845,-34.79919729,-34.79919729,-34.79919729,0,0,0,382.0040751,West,Furniture
4/11/15,511.7881382,-375.1453726,1465.509122,511.7881382,511.7881382,47.06422634,47.06422634,47.06422634,46.86775301,46.86775301,46.86775301,0.196473327,0.196473327,0.196473327,0,0,0,558.8523645,West,Furniture
4/15/15,512.0489964,-368.0005925,1336.12362,512.0489964,512.0489964,9.027425294,9.027425294,9.027425294,8.796577352,8.796577352,8.796577352,0.230847943,0.230847943,0.230847943,0,0,0,521.0764217,West,Furniture
