date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/4/15,308.4057331,-611.503814,958.8970174,308.4057331,308.4057331,-72.01014694,-72.01014694,-72.01014694,-31.76007401,-31.76007401,-31.76007401,-40.25007293,-40.25007293,-40.25007293,0,0,0,236.3955861,West,Office Supplies
1/7/15,308.2327676,-565.3832365,975.3708132,308.2327676,308.2327676,-34.69284603,-34.69284603,-34.69284603,27.93786641,27.93786641,27.93786641,-62.63071243,-62.63071243,-62.63071243,0,0,0,273.5399216,West,Office Supplies
1/8/15,308.1751124,-613.1949329,1046.757464,308.1751124,308.1751124,-122.0880596,-122.0880596,-122.0880596,-52.24954575,-52.24954575,-52.24954575,-69.8385138,-69.8385138,-69.8385138,0,0,0,186.0870529,West,Office Supplies
1/9/15,308.1174573,-619.5811339,961.8507556,308.1174573,308.1174573,-106.3011971,-106.3011971,-106.3011971,-29.71716454,-29.71716454,-29.71716454,-76.58403256,-76.58403256,-76.58403256,0,0,0,201.8162602,West,Office Supplies
1/10/15,308.0598021,-474.4110503,1170.248215,308.0598021,308.0598021,63.44605942,63.44605942,63.44605942,146.1369456,146.1369456,146.1369456,-82.69088623,-82.69088623,-82.69088623,0,0,0,371.5058615,West,Office Supplies
1/11/15,308.0021469,-572.688636,1067.163745,308.0021469,308.0021469,-119.7661319,-119.7661319,-119.7661319,-31.76007401,-31.76007401,-31.76007401,-88.00605792,-88.00605792,-88.00605792,0,0,0,188.236015,West,Office Supplies
1/13/15,307.8868366,-617.0922179,1015.279143,307.8868366,307.8868366,-128.1356742,-128.1356742,-128.1356742,-32.34781815,-32.34781815,-32.34781815,-95.78785609,-95.78785609,-95.78785609,0,0,0,179.7511623,West,Office Supplies
1/18/15,307.5985608,-675.4301081,913.4988501,307.5985608,307.5985608,-128.2010438,-128.2010438,-128.2010438,-31.76007401,-31.76007401,-31.76007401,-96.44096975,-96.44096975,-96.44096975,0,0,0,179.397517,West,Office Supplies
1/19/15,307.5409056,-577.0158696,1043.604762,307.5409056,307.5409056,-121.5588198,-121.5588198,-121.5588198,-28.0002096,-28.0002096,-28.0002096,-93.55861022,-93.55861022,-93.55861022,0,0,0,185.9820858,West,Office Supplies
1/20/15,307.4832504,-708.8876958,1003.443748,307.4832504,307.4832504,-122.2372534,-122.2372534,-122.2372534,-32.34781815,-32.34781815,-32.34781815,-89.88943523,-89.88943523,-89.88943523,0,0,0,185.2459971,West,Office Supplies
1/23/15,307.3102849,-620.6591881,1031.582025,307.3102849,307.3102849,-105.3646451,-105.3646451,-105.3646451,-29.71716454,-29.71716454,-29.71716454,-75.64748056,-75.64748056,-75.64748056,0,0,0,201.9456399,West,Office Supplies
1/27/15,307.0796643,-624.6612898,963.9977564,307.0796643,307.0796643,-87.75419252,-87.75419252,-87.75419252,-32.34781815,-32.34781815,-32.34781815,-55.40637436,-55.40637436,-55.40637436,0,0,0,219.3254718,West,Office Supplies
2/2/15,306.7337333,-574.2631972,1038.213546,306.7337333,306.7337333,-69.08619465,-69.08619465,-69.08619465,-28.0002096,-28.0002096,-28.0002096,-41.08598505,-41.08598505,-41.08598505,0,0,0,237.6475386,West,Office Supplies
