date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,region,category
1/11/15,558.0353171,-535.826171,2093.243929,558.0353171,558.0353171,198.0070744,198.0070744,198.0070744,-24.29954844,-24.29954844,-24.29954844,222.3066228,222.3066228,222.3066228,0,0,0,756.0423914,West,Technology
2/10/15,561.0202824,-1020.578059,1648.919375,561.0202824,561.0202824,-175.9537788,-175.9537788,-175.9537788,-6.630405481,-6.630405481,-6.630405481,-169.3233733,-169.3233733,-169.3233733,0,0,0,385.0665036,West,Technology
2/11/15,561.1197813,-1092.078397,1485.894383,561.1197813,561.1197813,-287.2686081,-287.2686081,-287.2686081,-101.3858075,-101.3858075,-101.3858075,-185.8828006,-185.8828006,-185.8828006,0,0,0,273.8511732,West,Technology
2/14/15,561.4182778,-1122.069662,1596.663448,561.4182778,561.4182778,-245.2021878,-245.2021878,-245.2021878,-15.40330046,-15.40330046,-15.40330046,-229.7988873,-229.7988873,-229.7988873,0,0,0,316.21609,West,Technology
3/14/15,564.2042455,-339.0467707,2370.834897,564.2042455,564.2042455,426.5800054,426.5800054,426.5800054,-15.40330046,-15.40330046,-15.40330046,441.9833059,441.9833059,441.9833059,0,0,0,990.784251,West,Technology
3/18/15,564.6022409,-355.2371336,2329.54816,564.6022409,564.6022409,393.2200106,393.2200106,393.2200106,-101.3858075,-101.3858075,-101.3858075,494.6058181,494.6058181,494.6058181,0,0,0,957.8222515,West,Technology
3/23/15,565.0997352,-347.0483177,2318.182181,565.0997352,565.0997352,410.1737704,410.1737704,410.1737704,-61.7580326,-61.7580326,-61.7580326,471.9318029,471.9318029,471.9318029,0,0,0,975.2735055,West,Technology
3/25/15,565.2987328,-381.7637845,2311.796903,565.2987328,565.2987328,339.408423,339.408423,339.408423,-101.3858075,-101.3858075,-101.3858075,440.7942305,440.7942305,440.7942305,0,0,0,904.7071559,West,Technology
3/26/15,565.3982317,-446.8656063,2346.683613,565.3982317,565.3982317,456.7531441,456.7531441,456.7531441,34.95123259,34.95123259,34.95123259,421.8019115,421.8019115,421.8019115,0,0,0,1022.151376,West,Technology
3/28/15,565.5972294,-376.4657348,2169.661288,565.5972294,565.5972294,363.3566691,363.3566691,363.3566691,-15.40330046,-15.40330046,-15.40330046,378.7599696,378.7599696,378.7599696,0,0,0,928.9538985,West,Technology
4/8/15,566.6917167,-677.3222131,1947.892723,566.6917167,566.6917167,11.69135274,11.69135274,11.69135274,-101.3858075,-101.3858075,-101.3858075,113.0771602,113.0771602,113.0771602,0,0,0,578.3830694,West,Technology
4/11/15,566.9902132,-792.0848566,1866.512971,566.9902132,566.9902132,30.56785378,30.56785378,30.56785378,-15.40330046,-15.40330046,-15.40330046,45.97115424,45.97115424,45.97115424,0,0,0,597.558067,West,Technology
4/18/15,567.6867052,-880.0607309,1762.514469,567.6867052,567.6867052,-125.8919171,-125.8919171,-125.8919171,-15.40330046,-15.40330046,-15.40330046,-110.4886166,-110.4886166,-110.4886166,0,0,0,441.7947881,West,Technology
4/28/15,568.6816938,-1140.249444,1606.918927,568.6816938,568.6816938,-329.8763249,-329.8763249,-329.8763249,-6.630405481,-6.630405481,-6.630405481,-323.2459195,-323.2459195,-323.2459195,0,0,0,238.8053688,West,Technology
5/8/15,569.6766824,-963.5812002,1681.906922,569.6766824,569.6766824,-164.072969,-164.072969,-164.072969,174.5258619,174.5258619,174.5258619,-338.5988309,-338.5988309,-338.5988309,0,0,0,405.6037134,West,Technology
5/10/15,569.8756801,-1106.48939,1701.617609,569.8756801,569.8756801,-326.4895452,-326.4895452,-326.4895452,-24.29954844,-24.29954844,-24.29954844,-302.1899968,-302.1899968,-302.1899968,0,0,0,243.3861349,West,Technology
5/12/15,570.0746778,-1075.650697,1681.686118,570.0746778,570.0746778,-260.8381811,-260.8381811,-260.8381811,-6.630405481,-6.630405481,-6.630405481,-254.2077756,-254.2077756,-254.2077756,0,0,0,309.2364967,West,Technology
5/13/15,570.1741767,-1060.948488,1583.400619,570.1741767,570.1741767,-328.0463412,-328.0463412,-328.0463412,-101.3858075,-101.3858075,-101.3858075,-226.6605337,-226.6605337,-226.6605337,0,0,0,242.1278355,West,Technology
5/16/15,570.4726733,-1011.683189,1732.023175,570.4726733,570.4726733,-150.1656941,-150.1656941,-150.1656941,-15.40330046,-15.40330046,-15.40330046,-134.7623937,-134.7623937,-134.7623937,0,0,0,420.3069792,West,Technology
5/26/15,571.4676619,-586.0119909,2033.020397,571.4676619,571.4676619,117.2163396,117.2163396,117.2163396,-6.630405481,-6.630405481,-6.630405481,123.8467451,123.8467451,123.8467451,0,0,0,688.6840015,West,Technology
5/27/15,571.5671608,-830.1146831,1884.168863,571.5671608,571.5671608,33.36612965,33.36612965,33.36612965,-101.3858075,-101.3858075,-101.3858075,134.7519371,134.7519371,134.7519371,0,0,0,604.9332904,West,Technology
5/28/15,571.6666596,-650.7377942,2144.078537,571.6666596,571.6666596,176.8986886,176.8986886,176.8986886,34.95123259,34.95123259,34.95123259,141.947456,141.947456,141.947456,0,0,0,748.5653482,West,Technology
6/4/15,572.3631516,-587.1131587,1959.530022,572.3631516,572.3631516,131.2822082,131.2822082,131.2822082,34.95123259,34.95123259,34.95123259,96.33097556,96.33097556,96.33097556,0,0,0,703.6453598,West,Technology
6/10/15,572.9601448,-742.1000149,1873.26295,572.9601448,572.9601448,-117.379325,-117.379325,-117.379325,-101.3858075,-101.3858075,-101.3858075,-15.9935175,-15.9935175,-15.9935175,0,0,0,455.5808198,West,Technology
6/18/15,573.7561357,-808.6377717,1887.272351,573.7561357,573.7561357,-55.35801741,-55.35801741,-55.35801741,34.95123259,34.95123259,34.95123259,-90.30925,-90.30925,-90.30925,0,0,0,518.3981183,West,Technology
6/22/15,574.1541312,-818.4018732,1902.865682,574.1541312,574.1541312,-115.8374695,-115.8374695,-115.8374695,-61.7580326,-61.7580326,-61.7580326,-54.07943692,-54.07943692,-54.07943692,0,0,0,458.3166616,West,Technology
6/25/15,574.4526277,-772.5996675,1892.0389,574.4526277,574.4526277,37.39356512,37.39356512,37.39356512,34.95123259,34.95123259,34.95123259,2.442332531,2.442332531,2.442332531,0,0,0,611.8461928,West,Technology
7/20/15,576.9400988,-546.9213157,2035.700408,576.9400988,576.9400988,159.1767349,159.1767349,159.1767349,-61.7580326,-61.7580326,-61.7580326,220.9347675,220.9347675,220.9347675,0,0,0,736.1168337,West,Technology
7/23/15,577.2385953,-436.1286683,2169.673203,577.2385953,577.2385953,213.4149375,213.4149375,213.4149375,34.95123259,34.95123259,34.95123259,178.4637049,178.4637049,178.4637049,0,0,0,790.6535328,West,Technology
7/26/15,577.5370918,-658.5521897,1992.993748,577.5370918,577.5370918,115.7700967,115.7700967,115.7700967,-24.29954844,-24.29954844,-24.29954844,140.0696451,140.0696451,140.0696451,0,0,0,693.3071885,West,Technology
7/27/15,577.6365907,-637.7119064,1929.8678,577.6365907,577.6365907,67.40279472,67.40279472,67.40279472,-61.7580326,-61.7580326,-61.7580326,129.1608273,129.1608273,129.1608273,0,0,0,645.0393854,West,Technology
