ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-04,308.40573307677244,-611.5038140314393,958.8970174302399,308.40573307677244,308.40573307677244,-72.01014693804073,-72.01014693804073,-72.01014693804073,-31.76007400715398,-31.76007400715398,-31.76007400715398,-40.25007293088675,-40.25007293088675,-40.25007293088675,0.0,0.0,0.0,236.3955861387317
2015-01-07,308.2327675829622,-565.3832365005339,975.3708132109078,308.2327675829622,308.2327675829622,-34.69284602645532,-34.69284602645532,-34.69284602645532,27.937866407781495,27.937866407781495,27.937866407781495,-62.63071243423682,-62.63071243423682,-62.63071243423682,0.0,0.0,0.0,273.5399215565069
2015-01-08,308.1751124183587,-613.1949329242188,1046.7574640265814,308.1751124183587,308.1751124183587,-122.0880595577143,-122.0880595577143,-122.0880595577143,-52.24954575432696,-52.24954575432696,-52.24954575432696,-69.83851380338734,-69.83851380338734,-69.83851380338734,0.0,0.0,0.0,186.0870528606444
2015-01-09,308.11745725375533,-619.5811339202446,961.8507556326041,308.11745725375533,308.11745725375533,-106.30119710033955,-106.30119710033955,-106.30119710033955,-29.717164537233,-29.717164537233,-29.717164537233,-76.58403256310653,-76.58403256310653,-76.58403256310653,0.0,0.0,0.0,201.81626015341578
2015-01-10,308.05980208915184,-474.4110502771194,1170.2482154109643,308.05980208915184,308.05980208915184,63.446059419976606,63.446059419976606,63.446059419976606,146.13694564498115,146.13694564498115,146.13694564498115,-82.69088622500452,-82.69088622500452,-82.69088622500452,0.0,0.0,0.0,371.50586150912847
2015-01-11,308.00214692454847,-572.6886360062971,1067.1637450221858,308.00214692454847,308.00214692454847,-119.7661319282438,-119.7661319282438,-119.7661319282438,-31.76007400726313,-31.76007400726313,-31.76007400726313,-88.00605792098067,-88.00605792098067,-88.00605792098067,0.0,0.0,0.0,188.23601499630468
2015-01-13,307.8868365953416,-617.0922178839324,1015.2791433649182,307.8868365953416,307.8868365953416,-128.13567424535702,-128.13567424535702,-128.13567424535702,-32.34781815447298,-32.34781815447298,-32.34781815447298,-95.78785609088402,-95.78785609088402,-95.78785609088402,0.0,0.0,0.0,179.75116234998458
2015-01-18,307.5985607723245,-675.4301081283435,913.4988500724609,307.5985607723245,307.5985607723245,-128.20104375960491,-128.20104375960491,-128.20104375960491,-31.760074007077822,-31.760074007077822,-31.760074007077822,-96.44096975252708,-96.44096975252708,-96.44096975252708,0.0,0.0,0.0,179.3975170127196
2015-01-19,307.540905607721,-577.0158696296974,1043.6047624593004,307.540905607721,307.540905607721,-121.55881981648862,-121.55881981648862,-121.55881981648862,-28.000209599318573,-28.000209599318573,-28.000209599318573,-93.55861021717004,-93.55861021717004,-93.55861021717004,0.0,0.0,0.0,185.9820857912324
2015-01-20,307.48325044311764,-708.8876958209505,1003.4437480731715,307.48325044311764,307.48325044311764,-122.23725338150346,-122.23725338150346,-122.23725338150346,-32.34781815461765,-32.34781815461765,-32.34781815461765,-89.8894352268858,-89.8894352268858,-89.8894352268858,0.0,0.0,0.0,185.24599706161416
2015-01-23,307.31028494930734,-620.6591881132421,1031.5820251183818,307.31028494930734,307.31028494930734,-105.36464509838683,-105.36464509838683,-105.36464509838683,-29.717164537438123,-29.717164537438123,-29.717164537438123,-75.64748056094871,-75.64748056094871,-75.64748056094871,0.0,0.0,0.0,201.94563985092051
2015-01-27,307.0796642908936,-624.6612897596209,963.997756366447,307.0796642908936,307.0796642908936,-87.75419251693916,-87.75419251693916,-87.75419251693916,-32.347818154217016,-32.347818154217016,-32.347818154217016,-55.40637436272214,-55.40637436272214,-55.40637436272214,0.0,0.0,0.0,219.32547177395446
2015-02-02,306.7337333032731,-574.2631972318954,1038.2135455990729,306.7337333032731,306.7337333032731,-69.08619465396643,-69.08619465396643,-69.08619465396643,-28.00020959938658,-28.00020959938658,-28.00020959938658,-41.085985054579865,-41.085985054579865,-41.085985054579865,0.0,0.0,0.0,237.64753864930665
2015-02-06,306.50311264485936,-586.2183789574664,1029.3865211647822,306.50311264485936,306.50311264485936,-76.51744532218518,-76.51744532218518,-76.51744532218518,-29.717164537082716,-29.717164537082716,-29.717164537082716,-46.800280785102466,-46.800280785102466,-46.800280785102466,0.0,0.0,0.0,229.98566732267417
2015-02-10,306.2724919864457,-546.1134238042332,1002.8461781319281,306.2724919864457,306.2724919864457,-90.72739111143471,-90.72739111143471,-90.72739111143471,-32.34781815441521,-32.34781815441521,-32.34781815441521,-58.37957295701953,-58.37957295701953,-58.37957295701953,0.0,0.0,0.0,215.54510087501097
2015-02-11,306.21483682184225,-560.9871246612711,1040.5721618028354,306.21483682184225,306.21483682184225,-32.923866750083604,-32.923866750083604,-32.923866750083604,27.937866407625428,27.937866407625428,27.937866407625428,-60.86173315770904,-60.86173315770904,-60.86173315770904,0.0,0.0,0.0,273.29097007175864
2015-02-14,306.04187132803196,-461.91252475566057,1115.3569863493133,306.0418713280319,306.0418713280319,82.11674879052622,82.11674879052622,82.11674879052622,146.13694564483404,146.13694564483404,146.13694564483404,-64.02019685430783,-64.02019685430783,-64.02019685430783,0.0,0.0,0.0,388.1586201185582
2015-02-15,305.9842161634286,-537.9054922932145,1050.3601665694966,305.9842161634286,305.9842161634286,-94.75390624048626,-94.75390624048626,-94.75390624048626,-31.760074006915765,-31.760074006915765,-31.760074006915765,-62.99383223357047,-62.99383223357047,-62.99383223357047,0.0,0.0,0.0,211.23030992294233
2015-02-20,305.69594034041137,-594.2217428021843,1018.0480417580275,305.69594034041137,305.69594034041137,-65.51819237976073,-65.51819237976073,-65.51819237976073,-29.717164537287854,-29.717164537287854,-29.717164537287854,-35.801027842472884,-35.801027842472884,-35.801027842472884,0.0,0.0,0.0,240.17774796065063
2015-02-22,305.5806300112045,-543.7716352829825,1094.3715362696234,305.5806300112045,305.5806300112045,-45.2998103700401,-45.2998103700401,-45.2998103700401,-31.760074007015188,-31.760074007015188,-31.760074007015188,-13.539736363024916,-13.539736363024916,-13.539736363024916,0.0,0.0,0.0,260.2808196411644
2015-02-24,305.46531968199776,-478.7220105550773,1092.501817357984,305.4653196819978,305.4653196819978,-17.561233702399925,-17.561233702399925,-17.561233702399925,-32.34781815434076,-32.34781815434076,-32.34781815434076,14.786584451940843,14.786584451940843,14.786584451940843,0.0,0.0,0.0,287.9040859795978
2015-03-02,305.11938869437716,-399.70856562554866,1217.3632335917578,305.11938869437716,305.11938869437716,94.00762567961844,94.00762567961844,94.00762567961844,-28.000209599370894,-28.000209599370894,-28.000209599370894,122.00783527898935,122.00783527898935,122.00783527898935,0.0,0.0,0.0,399.1270143739956
2015-03-08,304.77345770675663,-374.08521276957924,1287.5766313796016,304.77345770675663,304.77345770675663,185.4764388797564,185.4764388797564,185.4764388797564,-31.760074006939018,-31.760074006939018,-31.760074006939018,217.23651288669532,217.23651288669532,217.23651288669532,0.0,0.0,0.0,490.24989658651305
2015-03-11,304.60049199444245,-244.01060550275255,1351.5466348682578,304.60049199444245,304.60049199444245,269.4883660856077,269.4883660856077,269.4883660856077,27.93786640772902,27.93786640772902,27.93786640772902,241.55049967787863,241.55049967787863,241.55049967787863,0.0,0.0,0.0,574.0888580800502
2015-03-14,304.42752628212827,-91.40518744068319,1525.8395601052146,304.42752628212827,304.42752628212827,389.89403507118504,389.89403507118504,389.89403507118504,146.1369456448009,146.1369456448009,146.1369456448009,243.75708942638417,243.75708942638417,243.75708942638417,0.0,0.0,0.0,694.3215613533133
2015-03-18,304.1969053323761,-271.39324035507275,1282.094461745381,304.1969053323761,304.1969053323761,239.10466973993982,239.10466973993982,239.10466973993982,27.93786640773498,27.93786640773498,27.93786640773498,211.16680333220486,211.16680333220486,211.16680333220486,0.0,0.0,0.0,543.3015750723159
2015-03-22,303.9662843826238,-383.07607941304553,1212.8149297773182,303.9662843826238,303.9662843826238,113.48279663031764,113.48279663031764,113.48279663031764,-31.760074007147573,-31.760074007147573,-31.760074007147573,145.24287063746524,145.24287063746524,145.24287063746524,0.0,0.0,0.0,417.44908101294146
2015-03-23,303.9086291451858,-366.45922252302955,1173.615022594537,303.9086291451858,303.9086291451858,97.27830409337729,97.27830409337729,97.27830409337729,-28.000209599324123,-28.000209599324123,-28.000209599324123,125.27851369270142,125.27851369270142,125.27851369270142,0.0,0.0,0.0,401.1869332385631
2015-03-25,303.7933186703097,-392.7349859016401,1219.7881211620772,303.7933186703097,303.7933186703097,111.15961626133623,111.15961626133623,111.15961626133623,27.937866407608134,27.937866407608134,27.937866407608134,83.22174985372808,83.22174985372808,83.22174985372808,0.0,0.0,0.0,414.9529349316459
2015-03-26,303.73566343287166,-479.1795638527866,1178.816853644225,303.73566343287166,303.73566343287166,9.504172453962227,9.504172453962227,9.504172453962227,-52.249545754500026,-52.249545754500026,-52.249545754500026,61.75371820846225,61.75371820846225,61.75371820846225,0.0,0.0,0.0,313.2398358868339
2015-03-30,303.50504248311944,-606.6530757920591,1077.5915854055238,303.50504248311944,303.50504248311944,-47.98855591635034,-47.98855591635034,-47.98855591635034,-28.000209599209324,-28.000209599209324,-28.000209599209324,-19.988346317141012,-19.988346317141012,-19.988346317141012,0.0,0.0,0.0,255.5164865667691
2015-03-31,303.44738724568134,-541.2264634151888,1031.750086895313,303.44738724568134,303.44738724568134,-70.37439977551992,-70.37439977551992,-70.37439977551992,-32.34781815460918,-32.34781815460918,-32.34781815460918,-38.026581620910754,-38.026581620910754,-38.026581620910754,0.0,0.0,0.0,233.07298747016142
2015-04-02,303.33207677080526,-586.4293100445959,1001.1630174631973,303.33207677080526,303.33207677080526,-121.90744850646081,-121.90744850646081,-121.90744850646081,-52.24954575479544,-52.24954575479544,-52.24954575479544,-69.65790275166532,-69.65790275166532,-69.65790275166532,0.0,0.0,0.0,181.42462826434445
2015-04-04,303.2167662959292,-476.40390405651596,1144.134504146168,303.2167662959292,303.2167662959292,51.79281833970373,51.79281833970373,51.79281833970373,146.13694564491556,146.13694564491556,146.13694564491556,-94.34412730521181,-94.34412730521181,-94.34412730521181,0.0,0.0,0.0,355.0095846356329
2015-04-05,303.15911105849113,-595.8761107909312,1006.9878345990537,303.15911105849113,303.15911105849113,-135.5973744761249,-135.5973744761249,-135.5973744761249,-31.760074007071402,-31.760074007071402,-31.760074007071402,-103.83730046905352,-103.83730046905352,-103.83730046905352,0.0,0.0,0.0,167.56173658236622
2015-04-07,303.043800583615,-731.5007620058432,898.3877592948969,303.043800583615,303.043800583615,-149.30956153575326,-149.30956153575326,-149.30956153575326,-32.34781815420854,-32.34781815420854,-32.34781815420854,-116.96174338154471,-116.96174338154471,-116.96174338154471,0.0,0.0,0.0,153.73423904786173
2015-04-08,302.9861453461769,-568.7669026155604,1034.7597685071253,302.9861453461769,302.9861453461769,-92.70134126453168,-92.70134126453168,-92.70134126453168,27.93786640783261,27.93786640783261,27.93786640783261,-120.63920767236428,-120.63920767236428,-120.63920767236428,0.0,0.0,0.0,210.28480408164523
2015-04-10,302.8708348713008,-634.3288896363331,914.3794675700939,302.8708348713008,302.8708348713008,-152.31572990680925,-152.31572990680925,-152.31572990680925,-29.717164537298384,-29.717164537298384,-29.717164537298384,-122.59856536951087,-122.59856536951087,-122.59856536951087,0.0,0.0,0.0,150.55510496449156
2015-04-11,302.8131796338628,-449.38013991259425,1131.4881186243654,302.8131796338628,302.8131796338628,25.01426266874291,25.01426266874291,25.01426266874291,146.13694564496504,146.13694564496504,146.13694564496504,-121.12268297622212,-121.12268297622212,-121.12268297622212,0.0,0.0,0.0,327.8274423026057
2015-04-15,302.58255868411055,-571.9189923785723,971.8689255884096,302.58255868411055,302.58255868411055,-74.85245038171854,-74.85245038171854,-74.85245038171854,27.937866407360378,27.937866407360378,27.937866407360378,-102.7903167890789,-102.7903167890789,-102.7903167890789,0.0,0.0,0.0,227.730108302392
2015-04-18,302.40959297179637,-484.2854237864961,1166.7379622153767,302.40959297179637,302.40959297179637,64.39008700408536,64.39008700408536,64.39008700408536,146.13694564501455,146.13694564501455,146.13694564501455,-81.74685864092918,-81.74685864092918,-81.74685864092918,0.0,0.0,0.0,366.79967997588176
2015-04-21,302.23662725948225,-545.5267341233662,1067.6287361818568,302.23662725948225,302.23662725948225,-93.21833393732533,-93.21833393732533,-93.21833393732533,-32.347818154679395,-32.347818154679395,-32.347818154679395,-60.87051578264593,-60.87051578264593,-60.87051578264593,0.0,0.0,0.0,209.01829332215692
2015-04-23,302.1213167846061,-618.489077660454,1063.8929707946618,302.1213167846061,302.1213167846061,-101.83181476384271,-101.83181476384271,-101.83181476384271,-52.24954575456285,-52.24954575456285,-52.24954575456285,-49.58226900927985,-49.58226900927985,-49.58226900927985,0.0,0.0,0.0,200.2895020207634
2015-04-25,302.00600630973,-400.6999934819555,1202.3949057700468,302.00600630973,302.00600630973,104.37692883864133,104.37692883864133,104.37692883864133,146.13694564486676,146.13694564486676,146.13694564486676,-41.76001680622541,-41.76001680622541,-41.76001680622541,0.0,0.0,0.0,406.38293514837136
2015-04-26,301.9483510722919,-456.013335026252,1060.0735745163527,301.948351072292,301.948351072292,-71.15841530485798,-71.15841530485798,-71.15841530485798,-31.760074007104393,-31.760074007104393,-31.760074007104393,-39.39834129775358,-39.39834129775358,-39.39834129775358,0.0,0.0,0.0,230.78993576743395
2015-05-07,301.31414346047336,-583.794909801349,935.734252841639,301.31414346047336,301.31414346047336,-133.57139044580472,-133.57139044580472,-133.57139044580472,-52.24954575431485,-52.24954575431485,-52.24954575431485,-81.32184469148987,-81.32184469148987,-81.32184469148987,0.0,0.0,0.0,167.74275301466864
2015-05-08,301.25648801345767,-649.2514358488904,996.0585503970813,301.25648801345767,301.25648801345767,-118.8781837273628,-118.8781837273628,-118.8781837273628,-29.717164537148104,-29.717164537148104,-29.717164537148104,-89.16101919021467,-89.16101919021467,-89.16101919021467,0.0,0.0,0.0,182.37830428609487
2015-05-12,301.02586622539496,-573.4428809140212,962.3119150373543,301.0258662253949,301.0258662253949,-152.1482697116647,-152.1482697116647,-152.1482697116647,-32.34781815447697,-32.34781815447697,-32.34781815447697,-119.80045155718774,-119.80045155718774,-119.80045155718774,0.0,0.0,0.0,148.87759651373025
2015-05-13,300.9682107783794,-560.7110505835777,1013.5067786026322,300.9682107783794,300.9682107783794,-98.5779265439509,-98.5779265439509,-98.5779265439509,27.937866407331164,27.937866407331164,27.937866407331164,-126.51579295128204,-126.51579295128204,-126.51579295128204,0.0,0.0,0.0,202.3902842344285
2015-05-21,300.5069672022539,-688.190853823837,891.9984951533855,300.5069672022539,300.5069672022539,-200.6365376382167,-200.6365376382167,-200.6365376382167,-52.249545754136555,-52.249545754136555,-52.249545754136555,-148.38699188408012,-148.38699188408012,-148.38699188408012,0.0,0.0,0.0,99.87042956403721
2015-05-23,300.39165630822265,-470.45328591101133,1162.4468229005633,300.39165630822265,300.39165630822265,3.200107764279424,3.200107764279424,3.200107764279424,146.1369456448674,146.1369456448674,146.1369456448674,-142.936837880588,-142.936837880588,-142.936837880588,0.0,0.0,0.0,303.5917640725021
2015-05-26,300.2186899671756,-645.1831781753972,933.915851757376,300.2186899671756,300.2186899671756,-159.27119816647433,-159.27119816647433,-159.27119816647433,-32.347818154220995,-32.347818154220995,-32.347818154220995,-126.92338001225338,-126.92338001225338,-126.92338001225338,0.0,0.0,0.0,140.94749180070124
2015-05-27,300.1610345201599,-549.9261771020259,1049.3818454966454,300.1610345201599,300.1610345201599,-91.86167398931208,-91.86167398931208,-91.86167398931208,27.93786640790104,27.93786640790104,27.93786640790104,-119.79954039721312,-119.79954039721312,-119.79954039721312,0.0,0.0,0.0,208.29936053084782
2015-05-28,300.10337907314425,-741.5526950552887,903.8157131764651,300.10337907314425,300.10337907314425,-164.20434009980053,-164.20434009980053,-164.20434009980053,-52.24954575443198,-52.24954575443198,-52.24954575443198,-111.95479434536855,-111.95479434536855,-111.95479434536855,0.0,0.0,0.0,135.89903897334372
2015-06-01,299.8727572850815,-628.5957656558379,1083.5307718944878,299.8727572850815,299.8727572850815,-103.94573122907187,-103.94573122907187,-103.94573122907187,-28.00020959936659,-28.00020959936659,-28.00020959936659,-75.9455216297053,-75.9455216297053,-75.9455216297053,0.0,0.0,0.0,195.92702605600962
2015-06-04,299.69979094403453,-615.4042784169285,982.6728504638876,299.69979094403453,299.69979094403453,-100.30577754860745,-100.30577754860745,-100.30577754860745,-52.249545754377685,-52.249545754377685,-52.249545754377685,-48.05623179422977,-48.05623179422977,-48.05623179422977,0.0,0.0,0.0,199.39401339542707
2015-06-05,299.64213549701884,-494.22710579833813,1042.4846305171839,299.64213549701884,299.64213549701884,-69.07604626512081,-69.07604626512081,-69.07604626512081,-29.7171645372826,-29.7171645372826,-29.7171645372826,-39.35888172783822,-39.35888172783822,-39.35888172783822,0.0,0.0,0.0,230.56608923189805
2015-06-09,299.41151370895614,-549.1083737806321,1060.3417500090072,299.41151370895614,299.41151370895614,-43.274093158214576,-43.274093158214576,-43.274093158214576,-32.3478181544192,-32.3478181544192,-32.3478181544192,-10.926275003795377,-10.926275003795377,-10.926275003795377,0.0,0.0,0.0,256.1374205507416
2015-06-12,299.2385473679091,-524.1203795236117,1073.4045624051914,299.2385473679091,299.2385473679091,-28.529617836232436,-28.529617836232436,-28.529617836232436,-29.717164537523047,-29.717164537523047,-29.717164537523047,1.187546701290607,1.187546701290607,1.187546701290607,0.0,0.0,0.0,270.7089295316767
2015-06-13,299.18089192089343,-346.7876059178698,1267.1100200880935,299.18089192089343,299.18089192089343,149.33171132596385,149.33171132596385,149.33171132596385,146.1369456447848,146.1369456447848,146.1369456447848,3.194765681179052,3.194765681179052,3.194765681179052,0.0,0.0,0.0,448.5126032468573
2015-06-17,298.9502701328308,-496.0608555009521,1069.8078156584882,298.95027013283084,298.95027013283084,29.212810405709565,29.212810405709565,29.212810405709565,27.937866407786096,27.937866407786096,27.937866407786096,1.2749439979234662,1.2749439979234662,1.2749439979234662,0.0,0.0,0.0,328.1630805385403
2015-06-21,298.7196483447681,-519.9940931178055,1045.1067501881087,298.7196483447681,298.7196483447681,-45.11828232632108,-45.11828232632108,-45.11828232632108,-31.760074007064997,-31.760074007064997,-31.760074007064997,-13.358208319256072,-13.358208319256072,-13.358208319256072,0.0,0.0,0.0,253.60136601844698
2015-06-22,298.6619928977524,-520.6260892243318,1058.9280011235323,298.6619928977524,298.6619928977524,-46.18892356670668,-46.18892356670668,-46.18892356670668,-28.00020959931399,-28.00020959931399,-28.00020959931399,-18.188713967392687,-18.188713967392687,-18.188713967392687,0.0,0.0,0.0,252.4730693310457
2015-06-25,298.48902655670537,-591.8075807643291,991.6825066873128,298.48902655670537,298.48902655670537,-85.46361374333021,-85.46361374333021,-85.46361374333021,-52.2495457544948,-52.2495457544948,-52.2495457544948,-33.21406798883538,-33.21406798883538,-33.21406798883538,0.0,0.0,0.0,213.02541281337517
2015-06-30,298.20074932162703,-603.5075578595727,1032.4953546230654,298.20074932162703,298.20074932162703,-83.49972171678414,-83.49972171678414,-83.49972171678414,-32.34781815467095,-32.34781815467095,-32.34781815467095,-51.15190356211321,-51.15190356211321,-51.15190356211321,0.0,0.0,0.0,214.7010276048429
2015-07-03,298.02778298057996,-569.5725791611649,994.2412381209981,298.02778298057996,298.02778298057996,-81.92737880529342,-81.92737880529342,-81.92737880529342,-29.717164537132312,-29.717164537132312,-29.717164537132312,-52.21021426816109,-52.21021426816109,-52.21021426816109,0.0,0.0,0.0,216.10040417528654
2015-07-09,297.681850298486,-577.5109984206742,1058.5940669931254,297.681850298486,297.681850298486,-78.3061870033212,-78.3061870033212,-78.3061870033212,-52.24954575431651,-52.24954575431651,-52.24954575431651,-26.05664124900469,-26.05664124900469,-26.05664124900469,0.0,0.0,0.0,219.37566329516477
2015-07-11,297.5665394044546,-363.28599651863476,1255.1535912016984,297.5665394044546,297.5665394044546,136.09491506641714,136.09491506641714,136.09491506641714,146.13694564494895,146.13694564494895,146.13694564494895,-10.042030578531794,-10.042030578531794,-10.042030578531794,0.0,0.0,0.0,433.6614544708717
2015-07-12,297.50888393728354,-575.1719647985169,1011.7052070101743,297.50888393728354,297.50888393728354,-32.875696410718,-32.875696410718,-32.875696410718,-31.76007400709798,-31.76007400709798,-31.76007400709798,-1.1156224036200275,-1.1156224036200275,-1.1156224036200275,0.0,0.0,0.0,264.63318752656556
2015-07-14,297.39357300294137,-550.0164339019983,1073.628828097484,297.39357300294137,297.39357300294137,-14.488446699865603,-14.488446699865603,-14.488446699865603,-32.34781815459649,-32.34781815459649,-32.34781815459649,17.859371454730887,17.859371454730887,17.859371454730887,0.0,0.0,0.0,282.90512630307575
2015-07-19,297.105295667086,-486.8762311775774,1097.7854223738636,297.105295667086,297.105295667086,32.70964816397065,32.70964816397065,32.70964816397065,-31.760074007197392,-31.760074007197392,-31.760074007197392,64.46972217116804,64.46972217116804,64.46972217116804,0.0,0.0,0.0,329.81494383105667
2015-07-20,297.04764019991495,-406.0345004694101,1137.4812897325546,297.04764019991495,297.04764019991495,44.424043453334185,44.424043453334185,44.424043453334185,-28.000209599304117,-28.000209599304117,-28.000209599304117,72.42425305263829,72.42425305263829,72.42425305263829,0.0,0.0,0.0,341.47168365324916
2015-07-21,296.98998473274384,-444.97895566209075,1113.261222529883,296.9899847327439,296.9899847327439,47.26681612757493,47.26681612757493,47.26681612757493,-32.34781815446851,-32.34781815446851,-32.34781815446851,79.61463428204344,79.61463428204344,79.61463428204344,0.0,0.0,0.0,344.2568008603188
2015-07-22,296.9323292655728,-360.29501218413674,1202.2099810070542,296.9323292655728,296.9323292655728,113.87850653244854,113.87850653244854,113.87850653244854,27.93786640763003,27.93786640763003,27.93786640763003,85.94064012481851,85.94064012481851,85.94064012481851,0.0,0.0,0.0,410.81083579802134
